TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Miami Heat,21,21,34.4,264,605,43.6,54.4,13.9,134,245,54.7,20.5,130,360,36.1
Denver Nuggets,19,19,31.9,220,498,44.2,54.7,14.3,115,223,51.6,17.6,105,275,38.2
Los Angeles Lakers,21,21,29.1,224,493,45.4,54.7,14.9,133,253,52.6,14.2,91,240,37.9
Boston Celtics,17,17,31.4,178,459,38.8,47.9,13.2,94,193,48.7,18.2,84,266,31.6
LA Clippers,13,13,33.4,167,368,45.4,54.2,15.6,102,172,59.3,17.8,65,196,33.2
Houston Rockets,12,12,34.5,158,346,45.7,56.1,14.8,86,149,57.7,19.6,72,197,36.5
Toronto Raptors,11,11,29.0,108,274,39.4,48.7,12.2,57,115,49.6,16.8,51,159,32.1
Milwaukee Bucks,10,10,29.8,106,253,41.9,51.0,14.0,60,119,50.4,15.8,46,134,34.3
Dallas Mavericks,6,6,35.3,82,191,42.9,53.9,14.8,40,80,50.0,20.5,42,111,37.8
Utah Jazz,7,7,30.4,86,183,47.0,57.4,16.1,48,97,49.5,14.3,38,86,44.2
Oklahoma City Thunder,7,7,28.4,67,180,37.2,48.1,8.2,28,52,53.8,20.2,39,128,30.5
Portland Trail Blazers,5,5,29.9,68,132,51.5,61.4,14.9,42,66,63.6,14.9,26,66,39.4
Orlando Magic,5,5,29.3,60,128,46.9,56.3,13.3,36,58,62.1,16.0,24,70,34.3
Brooklyn Nets,4,4,31.0,52,113,46.0,58.0,14.0,25,51,49.0,17.0,27,62,43.5
Philadelphia 76ers,4,4,24.6,38,85,44.7,52.9,15.4,24,53,45.3,9.3,14,32,43.8
Indiana Pacers,4,4,24.1,38,78,48.7,60.9,9.9,19,32,59.4,14.2,19,46,41.3
