PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,12,9,3,422,524,16,4,6,66.7,4,4,100.0,12,75.0,6,37.5,2,12.5,1,6.3,2,12.5
Aaron Holiday,ATL,1,1,0,4,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,BOS,13,8,5,417,600,3,0,1,0.0,0,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0
Alex Len,SAC,7,3,4,54,73,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Amir Coffey,LAC,1,0,1,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andrew Wiggins,GSW,13,6,7,442,616,19,6,9,66.7,2,4,50.0,15,78.9,8,42.1,0,0.0,0,0.0,2,10.5
Anthony Davis,LAL,13,8,5,485,865,56,11,32,34.4,6,8,75.0,29,51.8,10,17.9,1,1.8,8,14.3,4,7.1
Anthony Edwards,MIN,5,1,4,199,384,8,4,5,80.0,2,2,100.0,10,125.0,2,25.0,1,12.5,0,0.0,1,12.5
Anthony Lamb,GSW,6,3,3,31,60,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Austin Reaves,LAL,13,8,5,463,746,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austin Rivers,MIN,4,1,3,46,48,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bam Adebayo,MIA,11,8,3,385,679,20,6,10,60.0,0,0,0.0,14,70.0,7,35.0,2,10.0,3,15.0,0,0.0
Bismack Biyombo,PHX,8,4,4,78,105,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Blake Griffin,BOS,1,0,1,6,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bobby Portis,MIL,5,1,4,107,178,8,4,5,80.0,0,0,0.0,8,100.0,3,37.5,0,0.0,0,0.0,0,0.0
Bogdan Bogdanovic,ATL,6,2,4,157,200,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bones Hyland,LAC,5,1,4,82,165,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brandon Boston Jr.,LAC,1,0,1,1,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brook Lopez,MIL,5,1,4,182,184,8,4,5,80.0,0,0,0.0,8,100.0,1,12.5,0,0.0,1,12.5,0,0.0
Bruce Brown,DEN,12,9,3,311,545,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Caleb Martin,MIA,11,8,3,303,424,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cam Thomas,BKN,2,0,2,16,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Johnson,BKN,4,0,4,152,197,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Payne,PHX,7,3,4,152,279,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Caris LeVert,CLE,5,1,4,170,234,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cedi Osman,CLE,5,1,4,93,126,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chimezie Metu,SAC,3,1,2,6,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Paul,PHX,7,4,3,250,461,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Christian Braun,DEN,12,9,3,158,145,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Clint Capela,ATL,6,2,4,151,182,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
