PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
Aaron Gordon,DEN,9,6,3,35.1,14.0,1.9,42.9,2.6,38.1,1.8,43.8,6.1,57.1,1.1,60.0,1.1,66.7,55.0
Aaron Holiday,ATL,1,1,0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,BOS,10,6,4,31.8,7.8,0.2,50.0,5.4,34.0,0.0,0.0,1.7,77.8,0.0,0.0,0.0,0.0,56.7
Alex Len,SAC,7,3,4,7.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.3,77.8,0.0,0.0,1.1,100.0,77.8
Amir Coffey,LAC,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,GSW,11,5,6,34.4,16.9,2.5,40.0,3.8,29.2,3.2,38.1,4.4,76.7,0.9,66.7,0.7,80.0,51.3
Anthony Davis,LAL,10,7,3,37.1,21.4,2.0,33.3,3.1,42.4,2.2,40.7,9.3,63.9,1.9,29.2,4.5,56.7,53.5
Anthony Edwards,MIN,5,1,4,39.7,31.6,10.4,48.6,2.4,23.5,10.6,44.7,0.6,100.0,2.0,80.0,0.2,0.0,54.8
Anthony Lamb,GSW,4,2,2,6.3,0.8,0.0,0.0,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
Austin Reaves,LAL,10,7,3,34.6,14.7,4.7,41.0,4.2,38.9,4.2,38.0,0.6,100.0,0.0,0.0,0.2,33.3,49.6
Austin Rivers,MIN,4,1,3,11.6,2.5,0.5,100.0,1.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5
