TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Golden State Warriors,58,647,9.8,1.03,664,229,562,40.7,54.2,5.6,9.0,5.4,1.4,39.6,79.3
Utah Jazz,60,487,7.1,1.0,487,165,418,39.5,50.2,9.0,7.2,8.4,2.3,40.2,75.9
Boston Celtics,59,389,6.0,1.03,402,144,338,42.6,54.0,5.9,8.5,6.2,1.8,41.1,82.8
Detroit Pistons,59,295,4.4,1.04,308,105,250,42.0,50.8,9.5,7.1,8.1,1.4,43.7,89.7
LA Clippers,61,315,4.7,0.92,289,109,269,40.5,48.0,6.0,9.5,5.7,1.0,39.7,41.4
Atlanta Hawks,59,323,4.8,0.9,289,113,290,39.0,45.0,5.3,5.6,4.3,0.6,39.3,37.9
Portland Trail Blazers,58,267,4.2,1.06,284,103,241,42.7,53.9,8.2,5.2,8.2,3.7,42.7,93.1
Brooklyn Nets,58,260,4.2,1.04,271,108,228,47.4,54.2,6.5,8.8,5.4,3.1,45.0,86.2
Phoenix Suns,60,269,4.0,0.98,264,99,231,42.9,49.6,8.2,8.2,6.7,2.2,42.8,69.0
New Orleans Pelicans,59,266,4.0,0.97,257,89,236,37.7,47.2,8.3,5.3,7.1,2.3,39.5,62.1
Minnesota Timberwolves,61,285,4.2,0.87,249,91,242,37.6,44.8,7.7,9.5,7.4,2.1,37.2,24.1
Charlotte Hornets,60,298,4.3,0.83,248,91,257,35.4,42.6,6.4,8.7,6.0,1.3,35.6,10.3
Denver Nuggets,59,259,4.0,0.95,247,94,228,41.2,50.4,4.2,8.1,3.5,0.4,40.2,58.6
Washington Wizards,58,261,4.1,0.92,241,84,210,40.0,47.6,9.2,11.5,8.0,1.1,40.2,44.8
Memphis Grizzlies,57,235,3.5,0.93,219,76,206,36.9,47.1,8.1,7.7,8.1,3.4,37.0,48.3
Miami Heat,59,249,3.9,0.88,218,80,229,34.9,42.6,6.0,4.0,5.6,2.0,36.1,27.6
Cleveland Cavaliers,61,224,3.4,0.97,217,79,188,42.0,50.0,8.5,9.4,7.6,1.8,42.0,65.5
San Antonio Spurs,59,212,3.1,0.94,200,74,186,39.8,48.9,5.2,7.5,5.2,0.5,39.6,51.7
Indiana Pacers,60,228,3.4,0.88,200,70,198,35.4,43.9,6.1,8.3,6.1,1.3,35.5,31.0
Dallas Mavericks,60,185,2.9,1.08,199,66,158,41.8,52.5,10.8,7.0,10.3,3.2,42.7,96.6
Toronto Raptors,59,206,3.1,0.95,195,71,182,39.0,49.5,4.9,7.8,4.9,1.0,37.9,55.2
Orlando Magic,59,188,2.9,0.98,185,70,168,41.7,51.2,5.3,6.9,4.3,1.6,41.0,72.4
Sacramento Kings,57,205,3.2,0.89,182,67,184,36.4,47.3,2.4,8.3,2.4,0.5,34.6,34.5
Milwaukee Bucks,58,158,2.4,0.86,136,47,135,34.8,45.2,5.7,11.4,5.7,2.5,32.9,20.7
Oklahoma City Thunder,57,121,1.8,1.1,133,50,105,47.6,59.0,5.0,8.3,5.0,0.0,46.3,100.0
Chicago Bulls,59,156,2.4,0.85,133,49,132,37.1,45.1,6.4,10.3,5.8,1.3,36.5,17.2
New York Knicks,60,142,2.1,0.84,120,44,120,36.7,44.2,7.7,10.6,6.3,2.8,35.2,13.8
Los Angeles Lakers,59,143,2.1,0.82,117,41,120,34.2,42.1,7.0,10.5,7.0,1.4,34.3,3.4
Philadelphia 76ers,57,140,2.3,0.83,116,41,125,32.8,42.4,4.3,7.9,4.3,1.4,32.1,6.9
Houston Rockets,58,128,1.9,0.74,95,32,107,29.9,37.9,6.3,12.5,5.5,2.3,28.9,0.0
