Name,On,Off,On-Off,MinutesOn,MinutesOff,Team,Year,Season
Clint Capela,0.650,0.693,-0.043,1597,1831,ATL,2024,2023-24
Jalen Johnson,0.665,0.682,-0.017,1728,1700,ATL,2024,2023-24
Saddiq Bey,0.671,0.676,-0.005,2062,1366,ATL,2024,2023-24
Bogdan Bogdanovic,0.665,0.682,-0.017,2031,1402,ATL,2024,2023-24
Garrison Mathews,0.660,0.676,-0.015,769,2659,ATL,2024,2023-24
Patty Mills,0.713,0.670,0.043,202,3226,ATL,2024,2023-24
Trae Young,0.684,0.656,0.028,1862,1566,ATL,2024,2023-24
AJ Griffin,0.720,0.671,0.049,132,3296,ATL,2024,2023-24
Onyeka Okongwu,0.694,0.658,0.036,1405,2023,ATL,2024,2023-24
De'Andre Hunter,0.677,0.670,0.006,1343,2085,ATL,2024,2023-24
Dejounte Murray,0.669,0.682,-0.013,2409,1019,ATL,2024,2023-24
Trent Forrest,0.708,0.669,0.039,360,3068,ATL,2024,2023-24
Bruno Fernando,0.664,0.674,-0.010,455,2973,ATL,2024,2023-24
Kobe Bufkin,0.623,0.674,-0.051,89,3339,ATL,2024,2023-24
Mouhamed Gueye,1.000,0.672,0.328,4,3424,ATL,2024,2023-24
Wesley Matthews,0.668,0.673,-0.005,354,3074,ATL,2024,2023-24
Vit Krejci,0.731,0.669,0.063,261,3167,ATL,2024,2023-24
Seth Lundy,0.684,0.672,0.012,52,3376,ATL,2024,2023-24
Miles Norris,0.000,0.673,-0.673,0,3428,ATL,2024,2023-24
Dylan Windler,0.706,0.672,0.034,26,3402,ATL,2024,2023-24
Mikal Bridges,0.650,0.669,-0.019,2541,935,BKN,2024,2023-24
Nic Claxton,0.634,0.682,-0.048,1839,1637,BKN,2024,2023-24
Ben Simmons,0.700,0.650,0.050,359,3117,BKN,2024,2023-24
Dariq Whitehead,0.857,0.654,0.204,24,3452,BKN,2024,2023-24
Noah Clowney,0.656,0.655,0.001,123,3353,BKN,2024,2023-24
Spencer Dinwiddie,0.632,0.672,-0.040,1474,2002,BKN,2024,2023-24
Royce O'Neale,0.651,0.657,-0.006,1202,2274,BKN,2024,2023-24
Dennis Smith Jr.,0.657,0.654,0.002,1055,2421,BKN,2024,2023-24
Dorian Finney-Smith,0.654,0.656,-0.002,1761,1715,BKN,2024,2023-24
Dennis Schroder,0.648,0.657,-0.008,663,2813,BKN,2024,2023-24
Keita Bates-Diop,0.818,0.652,0.166,68,3408,BKN,2024,2023-24
Lonnie Walker IV,0.670,0.650,0.020,883,2593,BKN,2024,2023-24
Jacob Gilyard,0.667,0.655,0.012,11,3465,BKN,2024,2023-24
Jaylen Martin,0.000,0.655,-0.655,0,3476,BKN,2024,2023-24
Day'Ron Sharpe,0.659,0.654,0.004,834,2642,BKN,2024,2023-24
Cam Thomas,0.669,0.640,0.028,1711,1765,BKN,2024,2023-24
Cameron Johnson,0.644,0.664,-0.020,1530,1946,BKN,2024,2023-24
Trendon Watford,0.684,0.650,0.035,598,2878,BKN,2024,2023-24
Armoni Brooks,0.729,0.653,0.076,104,3372,BKN,2024,2023-24
Jalen Wilson,0.678,0.652,0.026,468,3008,BKN,2024,2023-24
Harry Giles III,0.674,0.655,0.020,81,3395,BKN,2024,2023-24
Keon Johnson,0.846,0.652,0.194,51,3425,BKN,2024,2023-24
Jordan Walsh,0.545,0.639,-0.094,40,3441,BOS,2024,2023-24
Nathan Knight,0.000,0.638,-0.638,0,3481,BOS,2024,2023-24
Neemias Queta,0.640,0.638,0.002,296,3185,BOS,2024,2023-24
Jayson Tatum,0.635,0.646,-0.011,2399,1082,BOS,2024,2023-24
Kristaps Porzingis,0.601,0.670,-0.068,1480,2001,BOS,2024,2023-24
Jrue Holiday,0.632,0.647,-0.015,2017,1464,BOS,2024,2023-24
Derrick White,0.645,0.629,0.016,2151,1330,BOS,2024,2023-24
Sam Hauser,0.619,0.653,-0.034,1480,2001,BOS,2024,2023-24
Payton Pritchard,0.643,0.635,0.008,1556,1925,BOS,2024,2023-24
Drew Peterson,1.000,0.638,0.362,3,3478,BOS,2024,2023-24
Jaylen Brown,0.640,0.635,0.005,2142,1339,BOS,2024,2023-24
JD Davison,0.571,0.639,-0.067,11,3470,BOS,2024,2023-24
Luke Kornet,0.663,0.632,0.031,837,2644,BOS,2024,2023-24
Oshae Brissett,0.704,0.626,0.078,561,2920,BOS,2024,2023-24
Xavier Tillman,0.652,0.638,0.014,171,3310,BOS,2024,2023-24
Jaden Springer,0.711,0.637,0.074,71,3410,BOS,2024,2023-24
Al Horford,0.633,0.643,-0.011,1604,1877,BOS,2024,2023-24
Dalano Banton,0.654,0.638,0.016,171,3310,BOS,2024,2023-24
Lamar Stevens,0.712,0.636,0.077,122,3359,BOS,2024,2023-24
Svi Mykhailiuk,0.708,0.632,0.076,294,3187,BOS,2024,2023-24
Nick Smith Jr.,0.649,0.690,-0.041,641,2777,CHA,2024,2023-24
Gordon Hayward,0.682,0.684,-0.001,798,2620,CHA,2024,2023-24
Brandon Miller,0.687,0.677,0.010,2048,1370,CHA,2024,2023-24
JT Thor,0.647,0.692,-0.045,650,2768,CHA,2024,2023-24
Nick Richards,0.683,0.684,-0.001,1624,1794,CHA,2024,2023-24
Theo Maledon,0.617,0.687,-0.070,200,3218,CHA,2024,2023-24
Cody Martin,0.684,0.683,0.000,753,2665,CHA,2024,2023-24
P.J. Washington,0.667,0.694,-0.027,1286,2132,CHA,2024,2023-24
Terry Rozier,0.671,0.690,-0.019,1065,2353,CHA,2024,2023-24
LaMelo Ball,0.701,0.679,0.023,711,2707,CHA,2024,2023-24
Aleksej Pokusevski,0.704,0.682,0.021,153,3265,CHA,2024,2023-24
Mark Williams,0.699,0.680,0.018,508,2910,CHA,2024,2023-24
Vasilije Micic,0.710,0.679,0.031,536,2882,CHA,2024,2023-24
Davis Bertans,0.725,0.679,0.045,358,3060,CHA,2024,2023-24
Leaky Black,0.637,0.687,-0.050,218,3200,CHA,2024,2023-24
Frank Ntilikina,0.593,0.684,-0.092,43,3375,CHA,2024,2023-24
Tre Mann,0.673,0.685,-0.012,529,2889,CHA,2024,2023-24
Seth Curry,0.723,0.682,0.041,159,3259,CHA,2024,2023-24
Grant Williams,0.714,0.677,0.037,595,2823,CHA,2024,2023-24
Nathan Mensah,0.709,0.681,0.027,307,3111,CHA,2024,2023-24
Ish Smith,0.711,0.676,0.036,741,2677,CHA,2024,2023-24
Bryce McGowens,0.657,0.691,-0.033,792,2626,CHA,2024,2023-24
Miles Bridges,0.698,0.655,0.043,2254,1164,CHA,2024,2023-24
