TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
IND,26,26,42.8,554,1013,54.7,56.00000000000001,39.1,528,926,56.99999999999999,3.6999999999999997,26,87,29.9
DEN,27,27,40.9,469,964,48.699999999999996,50.2,36.3,440,857,51.300000000000004,4.5,29,107,27.1
PHX,27,27,37.3,462,913,50.6,51.800000000000004,33.6,441,821,53.7,3.8,21,92,22.8
MIL,27,27,35.5,465,906,51.300000000000004,53.1,31.5,433,804,53.900000000000006,4.0,32,102,31.4
WAS,26,26,36.6,489,897,54.50000000000001,56.49999999999999,32.300000000000004,453,792,57.199999999999996,4.3,36,105,34.300000000000004
PHI,27,27,37.6,454,893,50.8,52.7,32.7,421,776,54.300000000000004,4.9,33,117,28.199999999999996
MIA,28,28,37.0,480,881,54.50000000000001,56.599999999999994,31.6,443,752,58.9,5.4,37,129,28.7
CLE,28,28,35.8,436,879,49.6,51.5,31.900000000000002,402,784,51.300000000000004,3.9,34,95,35.8
DET,27,27,36.5,458,874,52.400000000000006,53.5,33.6,439,805,54.50000000000001,2.9000000000000004,19,69,27.500000000000004
LAL,27,27,34.599999999999994,449,864,52.0,53.6,30.8,421,771,54.6,3.6999999999999997,28,93,30.099999999999998
SAC,25,25,39.1,455,861,52.800000000000004,55.1,34.8,417,766,54.400000000000006,4.3,38,95,40.0
DAL,26,26,36.5,472,854,55.300000000000004,57.49999999999999,32.4,434,759,57.199999999999996,4.1000000000000005,38,95,40.0
MIN,26,26,36.7,399,853,46.800000000000004,48.5,32.7,370,761,48.6,4.0,29,92,31.5
BOS,27,27,34.0,415,840,49.4,51.2,30.3,385,748,51.5,3.6999999999999997,30,92,32.6
LAC,27,27,35.8,399,839,47.599999999999994,48.9,31.5,376,737,51.0,4.3999999999999995,23,102,22.5
ATL,26,26,35.4,452,836,54.1,55.900000000000006,31.6,421,747,56.39999999999999,3.8,31,89,34.8
CHA,26,26,36.3,447,836,53.5,55.1,32.4,419,746,56.2,3.9,28,90,31.1
TOR,26,26,35.6,424,835,50.8,52.300000000000004,31.5,398,740,53.800000000000004,4.0,26,95,27.400000000000002
UTA,28,28,32.6,439,834,52.6,54.7,27.900000000000002,404,715,56.49999999999999,4.7,35,119,29.4
GSW,25,25,36.8,431,829,52.0,53.5,32.4,406,729,55.7,4.3999999999999995,25,100,25.0
NYK,27,27,35.9,406,828,49.0,51.300000000000004,30.2,369,697,52.900000000000006,5.7,37,131,28.199999999999996
CHI,28,28,34.599999999999994,431,825,52.2,53.900000000000006,30.4,403,725,55.60000000000001,4.2,28,100,28.000000000000004
BKN,27,27,33.300000000000004,412,824,50.0,51.800000000000004,29.299999999999997,382,725,52.7,4.0,30,99,30.3
POR,25,25,37.4,450,818,55.00000000000001,56.10000000000001,34.300000000000004,432,750,57.599999999999994,3.1,18,68,26.5
NOP,27,27,33.2,424,793,53.5,54.6,29.599999999999998,406,707,57.4,3.5999999999999996,18,86,20.9
HOU,25,25,36.199999999999996,394,785,50.2,52.7,30.8,355,669,53.1,5.3,39,116,33.6
SAS,26,26,32.4,411,771,53.300000000000004,55.00000000000001,29.299999999999997,385,697,55.2,3.1,26,74,35.099999999999994
ORL,25,25,35.9,400,762,52.5,54.50000000000001,31.7,369,674,54.7,4.1000000000000005,31,88,35.199999999999996
MEM,26,26,34.300000000000004,372,762,48.8,50.4,30.8,348,684,50.9,3.5000000000000004,24,78,30.8
OKC,24,24,33.300000000000004,342,720,47.5,49.3,28.9,316,624,50.6,4.3999999999999995,26,96,27.1
