PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
Kevin Durant,PHX,35,19,19,63.7,116,247,47.0,50.6,52.6,98,204,48.0,11.1,18,43,41.9
Brandon Ingram,NOP,26,20,19,52.1,90,186,48.4,49.7,45.4,85,162,52.5,6.7,5,24,20.8
Giannis Antetokounmpo,MIL,29,21,21,45.4,118,183,64.5,64.5,45.4,118,183,64.5,0.0,0,0,-
Jayson Tatum,BOS,25,20,20,45.5,84,177,47.5,52.5,29.6,66,115,57.4,15.9,18,62,29.0
Anthony Davis,LAL,30,22,22,49.7,99,171,57.9,57.9,49.4,99,170,58.2,0.3,0,1,0.0
Luka Doncic,DAL,24,18,18,43.1,83,170,48.8,55.0,29.9,62,118,52.5,13.2,21,52,40.4
Kawhi Leonard,LAC,32,20,20,48.8,79,166,47.6,49.7,43.2,72,147,49.0,5.6,7,19,36.8
Cade Cunningham,DET,22,21,21,40.1,73,164,44.5,44.8,38.6,72,158,45.6,1.5,1,6,16.7
DeMar DeRozan,CHI,34,19,19,50.6,74,163,45.4,46.0,48.1,72,155,46.5,2.5,2,8,25.0
Paul George,LAC,33,20,20,44.4,69,162,42.6,48.5,28.5,50,104,48.1,15.9,19,58,32.8
Zion Williamson,NOP,23,19,19,55.4,85,159,53.5,53.5,55.4,85,159,53.5,0.0,0,0,-
Nikola Jokic,DEN,28,19,19,40.2,91,157,58.0,58.9,36.8,88,144,61.1,3.3,3,13,23.1
Jalen Brunson,NYK,27,20,20,40.6,67,156,42.9,44.9,34.9,61,134,45.5,5.7,6,22,27.3
Desmond Bane,MEM,25,20,20,39.2,75,154,48.7,51.0,32.6,68,128,53.1,6.6,7,26,26.9
Joel Embiid,PHI,29,17,17,42.5,80,153,52.3,52.6,40.0,79,144,54.9,2.5,1,9,11.1
Shai Gilgeous-Alexander,OKC,25,18,18,41.8,94,151,62.3,62.3,41.6,94,150,62.7,0.3,0,1,0.0
Dejounte Murray,ATL,27,19,19,47.2,71,151,47.0,52.6,36.3,54,116,46.6,10.9,17,35,48.6
Jaylen Brown,BOS,27,19,19,40.8,75,145,51.7,55.9,30.1,63,107,58.9,10.7,12,38,31.6
Tyrese Maxey,PHI,23,19,19,36.5,71,140,50.7,51.4,33.9,69,130,53.1,2.6,2,10,20.0
Donovan Mitchell,CLE,27,16,16,41.3,59,140,42.1,43.2,35.1,56,119,47.1,6.2,3,21,14.3
LeBron James,LAL,38,22,21,38.1,85,137,62.0,65.0,31.9,77,115,67.0,6.1,8,22,36.4
Julius Randle,NYK,29,20,20,39.3,69,137,50.4,50.7,37.0,68,129,52.7,2.3,1,8,12.5
Kyle Kuzma,WAS,28,20,20,36.2,61,137,44.5,46.0,32.5,57,123,46.3,3.7,4,14,28.6
Mikal Bridges,BKN,27,20,19,38.7,74,134,55.2,58.2,32.4,66,112,58.9,6.4,8,22,36.4
Pascal Siakam,TOR,29,20,20,43.1,67,134,50.0,50.0,42.4,67,132,50.8,0.6,0,2,0.0
Franz Wagner,ORL,22,20,20,40.0,72,132,54.5,54.5,38.2,72,126,57.1,1.8,0,6,0.0
Damian Lillard,MIL,33,20,20,38.9,64,132,48.5,53.4,28.3,51,96,53.1,10.6,13,36,36.1
Devin Booker,PHX,27,12,12,56.1,57,128,44.5,46.9,48.2,51,110,46.4,7.9,6,18,33.3
Evan Mobley,CLE,22,21,21,50.8,72,125,57.6,57.6,50.4,72,124,58.1,0.4,0,1,0.0
Jerami Grant,POR,29,18,18,42.0,57,123,46.3,49.2,33.4,50,98,51.0,8.5,7,25,28.0
Kyrie Irving,DAL,31,15,15,43.2,51,123,41.5,43.5,36.8,46,105,43.8,6.3,5,18,27.8
Victor Wembanyama,SAS,19,19,19,39.6,54,122,44.3,45.5,33.8,51,104,49.0,5.8,3,18,16.7
Scottie Barnes,TOR,22,20,20,38.8,55,121,45.5,45.9,38.5,54,120,45.0,0.3,1,1,100
Alperen Sengun,HOU,21,18,18,42.3,76,120,63.3,63.3,42.3,76,120,63.3,0.0,0,0,-
Karl-Anthony Towns,MIN,28,20,20,38.5,61,120,50.8,51.7,37.5,59,117,50.4,1.0,2,3,66.7
Anthony Edwards,MIN,22,18,18,33.8,51,120,42.5,43.8,29.0,48,103,46.6,4.8,3,17,17.6
Jaren Jackson Jr.,MEM,24,20,20,37.8,58,119,48.7,48.7,37.1,58,117,49.6,0.6,0,2,0.0
Jimmy Butler,MIA,34,17,17,46.2,52,116,44.8,47.0,42.6,47,107,43.9,3.6,5,9,55.6
Trae Young,ATL,25,18,18,32.8,45,116,38.8,40.1,29.7,42,105,40.0,3.1,3,11,27.3
Paolo Banchero,ORL,21,20,19,37.7,59,115,51.3,51.7,36.4,58,111,52.3,1.3,1,4,25.0
Michael Porter Jr.,DEN,25,20,20,42.1,56,114,49.1,55.7,25.8,41,70,58.6,16.2,15,44,34.1
Tobias Harris,PHI,31,20,20,41.0,57,107,53.3,53.7,40.2,56,105,53.3,0.8,1,2,50.0
Josh Giddey,OKC,21,19,19,47.8,48,107,44.9,44.9,47.8,48,107,44.9,0.0,0,0,-
Jordan Poole,WAS,24,19,19,36.4,47,106,44.3,45.8,31.6,44,92,47.8,4.8,3,14,21.4
Jordan Clarkson,UTA,31,17,17,39.8,43,106,40.6,42.5,33.1,39,88,44.3,6.8,4,18,22.2
Zach LaVine,CHI,28,17,17,36.8,49,105,46.7,49.5,27.7,43,79,54.4,9.1,6,26,23.1
De'Aaron Fox,SAC,25,14,14,33.2,57,104,54.8,55.8,30.7,55,96,57.3,2.6,2,8,25.0
Nikola Vucevic,CHI,33,21,21,33.0,61,102,59.8,59.8,32.7,61,101,60.4,0.3,0,1,0.0
Darius Garland,CLE,23,16,16,41.8,53,102,52.0,53.9,37.7,49,92,53.3,4.1,4,10,40.0
Cam Thomas,BKN,22,11,11,46.6,46,102,45.1,47.5,37.4,41,82,50.0,9.1,5,20,25.0
Max Strus,CLE,27,21,21,40.7,41,101,40.6,47.0,22.2,28,55,50.9,18.5,13,46,28.3
Bam Adebayo,MIA,26,16,16,39.1,53,99,53.5,53.5,38.7,53,98,54.1,0.4,0,1,0.0
D'Angelo Russell,LAL,27,23,23,33.9,52,99,52.5,54.0,30.5,49,89,55.1,3.4,3,10,30.0
Tyrese Haliburton,IND,23,18,18,30.4,54,98,55.1,57.7,27.0,49,87,56.3,3.4,5,11,45.5
Devin Vassell,SAS,23,15,15,48.5,48,98,49.0,57.7,27.7,31,56,55.4,20.8,17,42,40.5
LaMelo Ball,CHA,22,15,15,32.9,47,98,48.0,49.5,29.5,44,88,50.0,3.4,3,10,30.0
RJ Barrett,NYK,23,15,15,43.2,40,98,40.8,40.8,41.9,40,95,42.1,1.3,0,3,0.0
Stephen Curry,GSW,35,18,18,28.7,44,97,45.4,52.1,17.5,31,59,52.5,11.2,13,38,34.2
Jalen Green,HOU,21,18,17,36.1,43,97,44.3,45.9,29.7,40,80,50.0,6.3,3,17,17.6
Klay Thompson,GSW,33,18,17,38.8,52,95,54.7,65.3,22.9,32,56,57.1,15.9,20,39,51.3
Keldon Johnson,SAS,24,19,19,36.9,50,93,53.8,56.5,31.3,45,79,57.0,5.6,5,14,35.7
Bogdan Bogdanovic,ATL,31,19,19,37.7,41,92,44.6,52.7,18.9,26,46,56.5,18.9,15,46,32.6
Dennis Schroder,TOR,30,20,20,34.3,43,91,47.3,48.9,31.3,40,83,48.2,3.0,3,8,37.5
Jordan Hawkins,NOP,21,22,18,39.7,32,91,35.2,42.9,21.4,18,49,36.7,18.3,14,42,33.3
Austin Reaves,LAL,25,23,23,38.5,52,90,57.8,58.9,35.0,50,82,61.0,3.4,2,8,25.0
Myles Turner,IND,27,20,20,36.0,55,89,61.8,62.4,35.2,54,87,62.1,0.8,1,2,50.0
Duncan Robinson,MIA,29,19,19,42.4,41,89,46.1,53.4,24.3,28,51,54.9,18.1,13,38,34.2
Jonas Valanciunas,NOP,31,23,22,40.4,56,88,63.6,63.6,40.4,56,88,63.6,0.0,0,0,-
Rudy Gobert,MIN,31,20,20,53.7,55,88,62.5,62.5,53.7,55,88,62.5,0.0,0,0,-
John Collins,UTA,26,21,21,36.8,45,88,51.1,51.1,36.8,45,88,51.1,0.0,0,0,-
Bennedict Mathurin,IND,21,20,19,39.9,46,87,52.9,53.4,37.6,45,82,54.9,2.3,1,5,20.0
Lauri Markkanen,UTA,26,15,15,34.1,44,86,51.2,52.9,28.2,41,71,57.7,6.0,3,15,20.0
Jeremy Sochan,SAS,20,20,19,43.4,33,86,38.4,39.5,41.9,31,83,37.3,1.5,2,3,66.7
Domantas Sabonis,SAC,27,18,18,38.3,50,85,58.8,58.8,38.3,50,85,58.8,0.0,0,0,-
Ausar Thompson,DET,20,21,20,42.7,47,85,55.3,55.3,42.7,47,85,55.3,0.0,0,0,-
