Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
A.J. Lawson,DAL,4,3,1,10.0,5,13,7,0.9,3.95,2.54,0.385,1,0,1,0.0,0.0,2.0,1630639,1610612742
AJ Green,MIL,6,2,4,67.0,17,78,33,3.8,2.92,2.15,0.218,2,0,1,0.0,0.0,0.0,1631260,1610612749
Aaron Gordon,DEN,6,4,2,233.0,78,299,175,14.4,2.89,1.97,0.261,11,7,53,0.182,0.0,0.849,203932,1610612743
Aaron Nesmith,IND,6,4,2,210.0,66,293,186,6.9,1.41,0.71,0.225,1,0,3,0.0,0.0,0.0,1630174,1610612754
Aaron Wiggins,OKC,4,4,0,60.0,23,71,35,4.2,3.56,2.63,0.324,2,0,5,1.0,0.0,0.8,1630598,1610612760
Al Horford,BOS,5,4,1,128.0,40,161,92,3.5,1.31,0.39,0.248,8,7,18,0.25,0.571,0.778,201143,1610612738
Amir Coffey,LAC,6,2,4,112.0,17,106,58,3.5,1.99,0.99,0.16,3,0,4,0.0,0.0,1.0,1629599,1610612746
Andre Jackson Jr.,MIL,5,1,4,60.0,12,98,38,5.9,3.64,3.16,0.122,1,0,10,0.0,0.0,0.4,1641748,1610612749
Andrew Nembhard,IND,6,4,2,208.0,83,308,197,15.8,3.07,2.67,0.269,5,0,12,0.4,0.0,0.667,1629614,1610612754
Anthony Black,ORL,2,2,0,11.0,6,33,18,2.8,5.12,4.15,0.182,1,0,1,0.0,0.0,0.0,1641710,1610612753
Anthony Davis,LAL,5,1,4,208.0,139,377,219,14.8,2.36,1.12,0.369,31,23,52,0.839,0.522,1.365,203076,1610612747
Anthony Edwards,MIN,5,5,0,200.0,167,431,200,41.8,5.81,5.8,0.387,4,10,7,1.0,1.1,0.286,1630162,1610612750
Austin Reaves,LAL,5,1,4,174.0,84,288,99,19.6,4.09,3.75,0.292,2,0,7,0.0,0.0,0.857,1630559,1610612747
Bam Adebayo,MIA,5,1,4,193.0,113,347,204,19.7,3.4,2.4,0.326,21,32,27,0.667,0.781,0.926,1628389,1610612748
Ben Sheppard,IND,6,4,2,107.0,35,164,90,3.1,1.14,0.48,0.213,0,0,3,0.0,0.0,0.0,1641767,1610612754
Bobby Portis,MIL,6,2,4,187.0,99,360,215,13.1,2.18,1.07,0.275,8,27,31,0.5,0.704,0.839,1626171,1610612749
Bojan Bogdanovic,NYK,4,3,1,51.0,24,63,45,2.2,2.05,1.32,0.381,0,2,1,0.0,1.0,0.0,202711,1610612752
Bol Bol,PHX,3,0,3,13.0,2,9,3,0.4,2.63,1.89,0.222,1,0,0,0.0,0.0,0.0,1629626,1610612756
Bones Hyland,LAC,3,0,3,12.0,11,30,11,2.1,4.24,3.93,0.367,0,0,0,0.0,0.0,0.0,1630538,1610612746
Bradley Beal,PHX,4,0,4,154.0,66,298,121,20.6,4.14,3.57,0.221,2,1,7,0.0,0.0,1.143,203078,1610612756
Brandon Boston Jr.,LAC,3,0,3,10.0,5,21,10,1.0,2.98,2.67,0.238,0,0,1,0.0,0.0,0.0,1630527,1610612746
Brandon Ingram,NOP,4,0,4,145.0,57,233,133,15.1,3.9,3.03,0.245,7,9,4,1.143,0.222,1.5,1627742,1610612740
Brook Lopez,MIL,6,2,4,200.0,106,211,179,6.8,1.94,0.88,0.502,13,15,22,1.077,0.667,1.455,201572,1610612749
Buddy Hield,PHI,4,1,3,51.0,22,67,40,2.2,1.93,1.37,0.328,1,0,1,0.0,0.0,0.0,1627741,1610612755
CJ McCollum,NOP,4,0,4,148.0,71,305,123,23.9,4.7,4.26,0.233,0,0,0,0.0,0.0,0.0,203468,1610612740
Caleb Houstan,ORL,3,2,1,14.0,3,13,10,0.2,1.13,0.15,0.231,0,0,0,0.0,0.0,0.0,1631216,1610612753
Caleb Martin,MIA,5,1,4,176.0,58,221,109,14.4,3.91,3.29,0.262,0,0,3,0.0,0.0,0.0,1628997,1610612748
Cameron Payne,PHI,5,2,3,61.0,28,111,44,8.6,4.64,3.83,0.252,0,0,0,0.0,0.0,0.0,1626166,1610612755
Caris LeVert,CLE,7,4,3,157.0,52,248,129,18.1,4.37,4.17,0.21,2,0,4,0.0,0.0,0.0,1627747,1610612739
Cason Wallace,OKC,4,4,0,70.0,12,57,36,2.1,2.26,1.79,0.211,2,0,1,0.0,0.0,0.0,1641717,1610612760
Chet Holmgren,OKC,4,4,0,129.0,61,234,124,7.1,1.82,0.79,0.261,3,2,19,0.667,0.0,1.0,1631096,1610612760
Chris Livingston,MIL,2,0,2,6.0,2,3,3,0.1,1.75,0.67,0.667,0,0,1,0.0,0.0,2.0,1641753,1610612749
Christian Braun,DEN,6,4,2,84.0,26,93,59,3.9,2.49,1.55,0.28,3,0,8,1.333,0.0,0.875,1631128,1610612743
Chuma Okeke,ORL,2,2,0,10.0,6,13,8,0.4,1.63,0.69,0.462,0,0,1,0.0,0.0,3.0,1629643,1610612753
Cole Anthony,ORL,7,3,4,103.0,36,163,70,11.2,4.13,3.66,0.221,0,0,2,0.0,0.0,2.0,1630175,1610612753
D'Angelo Russell,LAL,5,1,4,185.0,71,332,136,21.5,3.88,3.31,0.214,3,0,3,1.333,0.0,0.667,1626156,1610612747
Damian Jones,CLE,1,0,1,7.0,0,10,5,0.3,1.9,0.7,0.0,0,0,1,0.0,0.0,0.0,1627745,1610612739
Damian Lillard,MIL,4,1,3,156.0,125,277,135,22.8,4.94,4.16,0.451,3,0,2,0.0,0.0,1.0,203081,1610612749
Daniel Gafford,DAL,6,4,2,109.0,37,135,76,3.3,1.45,0.33,0.274,12,0,26,0.583,0.0,1.154,1629655,1610612742
Daniel Theis,LAC,1,0,1,4.0,3,7,4,0.1,1.23,0.14,0.429,0,0,0,0.0,0.0,0.0,1628464,1610612746
Danilo Gallinari,MIL,3,1,2,37.0,11,59,34,2.7,2.7,1.17,0.186,2,2,4,1.0,2.0,1.25,201568,1610612749
Dante Exum,DAL,6,4,2,53.0,9,87,33,7.6,5.24,4.65,0.103,0,0,0,0.0,0.0,0.0,203957,1610612742
Darius Garland,CLE,7,4,3,240.0,104,432,162,44.2,6.14,6.41,0.241,1,0,1,0.0,0.0,0.0,1629636,1610612739
David Roddy,PHX,2,0,2,3.0,0,5,3,0.2,2.72,1.2,0.0,0,0,0,0.0,0.0,0.0,1631223,1610612756
De'Anthony Melton,PHI,1,0,1,7.0,0,9,4,0.4,2.37,0.67,0.0,0,0,0,0.0,0.0,0.0,1629001,1610612755
DeAndre Jordan,DEN,1,1,0,9.0,4,8,3,0.2,1.8,0.25,0.5,0,0,0,0.0,0.0,0.0,201599,1610612743
