TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Charlotte Hornets,79,1895,22.2,0.9,1664,646,1499,43.1,48.1,7.8,14.8,7.1,1.7,39.8,34.5
Detroit Pistons,79,1853,20.9,0.9,1621,611,1400,43.6,47.8,9.7,16.5,8.7,1.7,40.5,31.0
Chicago Bulls,79,1686,19.4,1.0,1614,617,1286,48.0,50.6,12.8,13.5,11.4,2.6,46.4,82.8
Indiana Pacers,79,1620,18.1,1.0,1555,632,1336,47.3,51.9,7.3,12.4,6.7,2.2,44.0,86.2
Atlanta Hawks,79,1640,18.0,0.9,1544,558,1269,44.0,50.9,9.6,14.7,7.5,1.7,41.8,72.4
Oklahoma City Thunder,79,1513,17.4,1.0,1524,593,1157,51.3,53.6,13.0,13.9,11.4,3.4,48.4,100.0
New York Knicks,78,1567,18.3,1.0,1497,558,1259,44.3,50.0,10.3,12.0,9.1,2.7,43.3,79.3
Houston Rockets,79,1577,17.7,0.9,1467,528,1253,42.1,49.4,9.4,13.0,7.7,1.9,40.8,65.5
Dallas Mavericks,79,1441,16.4,1.0,1427,527,1110,47.5,54.2,11.1,14.8,9.9,2.9,44.1,93.1
Brooklyn Nets,79,1634,18.7,0.8,1380,527,1272,41.4,45.2,10.2,14.6,9.7,2.7,39.5,20.7
Milwaukee Bucks,78,1375,15.8,1.0,1361,478,1041,45.9,52.2,12.7,14.3,10.5,2.7,44.7,89.7
Portland Trail Blazers,79,1650,18.5,0.8,1350,514,1270,40.5,44.8,8.1,16.2,7.1,1.3,37.7,6.9
Cleveland Cavaliers,79,1526,17.8,0.9,1328,505,1191,42.4,47.9,8.3,14.8,7.3,1.2,39.6,27.6
Los Angeles Lakers,79,1412,16.1,0.9,1303,478,1038,46.1,51.3,11.5,17.1,10.1,2.2,42.6,62.1
Orlando Magic,79,1555,18.0,0.8,1288,490,1159,42.3,45.3,11.3,16.3,10.2,2.2,40.1,13.8
Washington Wizards,80,1555,17.2,0.8,1282,509,1249,40.8,44.8,7.7,13.9,6.9,1.9,38.1,10.3
Philadelphia 76ers,80,1351,15.3,0.9,1246,462,1105,41.8,47.5,9.8,11.0,9.3,2.6,41.4,58.6
Phoenix Suns,78,1194,13.9,1.0,1196,448,904,49.6,54.7,11.1,15.2,10.1,2.1,46.4,96.6
Utah Jazz,79,1408,15.6,0.8,1171,432,1094,39.5,44.0,9.8,14.6,8.7,2.1,38.1,17.2
LA Clippers,79,1229,14.4,0.9,1161,417,937,44.5,51.4,9.8,16.3,9.0,2.4,41.3,75.9
Golden State Warriors,79,1271,14.1,0.9,1160,436,1016,42.9,49.6,7.6,13.7,7.2,1.3,40.5,55.2
New Orleans Pelicans,78,1233,14.4,0.9,1151,448,962,46.6,50.4,10.9,13.1,9.4,2.0,44.5,69.0
Boston Celtics,78,1248,14.5,0.9,1139,426,992,42.9,49.8,7.4,14.7,6.6,1.5,39.7,51.7
San Antonio Spurs,79,1290,14.4,0.9,1103,428,978,43.8,48.0,8.3,17.5,7.1,1.6,39.6,24.1
Sacramento Kings,78,1204,13.7,0.9,1098,424,926,45.8,50.9,9.2,15.9,8.3,2.0,42.1,48.3
Minnesota Timberwolves,79,1231,14.4,0.9,1091,396,927,42.7,48.1,10.6,16.4,9.2,2.4,40.1,37.9
Miami Heat,79,1222,14.5,0.9,1085,405,942,43.0,47.5,9.7,15.1,8.4,1.9,40.8,44.8
Memphis Grizzlies,79,1288,14.7,0.8,1025,394,956,41.2,46.1,7.8,19.4,6.7,1.5,36.6,0.0
Denver Nuggets,79,1113,12.9,0.9,988,384,895,42.9,48.4,6.9,14.4,6.1,1.7,39.7,41.4
Toronto Raptors,79,1215,13.7,0.8,980,382,934,40.9,44.0,9.1,15.8,8.1,1.7,38.4,3.4
