TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Brooklyn Nets,17,501,26.5,1.17,585,202,462,43.7,59.7,4.4,4.2,4.4,0.8,43.9,100.0
Phoenix Suns,17,515,27.2,1.09,563,193,479,40.3,55.0,4.7,3.1,4.5,0.8,41.4,75.9
Chicago Bulls,19,562,27.3,0.99,559,199,508,39.2,51.9,3.7,6.4,3.4,0.5,38.6,27.6
Toronto Raptors,18,526,25.9,1.02,536,182,468,38.9,52.6,5.7,6.5,5.3,1.1,39.2,48.3
Boston Celtics,18,468,23.5,1.14,532,179,432,41.4,57.6,4.9,4.1,4.5,1.3,41.9,96.6
Dallas Mavericks,17,487,25.5,1.08,527,184,447,41.2,55.9,5.1,5.1,4.9,2.1,40.7,69.0
Utah Jazz,17,499,25.0,1.04,518,177,430,41.2,55.3,5.6,8.8,5.4,0.6,40.1,55.2
New Orleans Pelicans,18,516,25.6,1.0,514,176,462,38.1,50.8,5.2,5.8,4.8,0.6,38.6,31.0
Milwaukee Bucks,18,457,22.7,1.12,511,177,417,42.4,57.8,4.6,4.8,3.9,0.7,42.0,86.2
New York Knicks,17,503,26.4,1.0,505,173,457,37.9,50.8,5.2,5.4,5.2,1.4,38.2,34.5
Oklahoma City Thunder,17,441,23.6,1.13,500,172,392,43.9,58.5,5.9,6.1,5.2,0.9,44.0,93.1
Minnesota Timberwolves,17,490,26.2,1.01,493,174,427,40.7,53.0,5.1,8.6,4.9,0.8,39.8,37.9
Miami Heat,18,432,22.3,1.11,478,170,398,42.7,57.9,2.5,5.6,2.5,0.2,41.7,82.8
Indiana Pacers,16,459,24.7,1.04,478,172,415,41.4,53.7,4.8,5.9,3.7,1.1,41.2,58.6
Portland Trail Blazers,17,468,24.2,1.01,473,164,421,39.0,52.3,5.6,6.0,4.9,1.5,39.1,41.4
Golden State Warriors,18,473,22.8,0.99,470,165,431,38.3,51.5,4.0,5.7,3.6,0.8,37.8,24.1
Washington Wizards,17,434,22.7,1.06,461,161,392,41.1,53.8,6.9,5.5,6.5,2.8,41.0,65.5
Orlando Magic,17,428,22.2,1.06,454,154,381,40.4,54.7,6.1,6.1,5.8,1.2,40.4,62.1
Memphis Grizzlies,16,466,25.8,0.97,450,156,426,36.6,49.1,4.7,4.3,4.1,0.4,37.3,17.2
Sacramento Kings,16,468,25.8,0.96,450,157,427,36.8,48.9,6.4,4.5,5.6,2.1,37.0,13.8
Atlanta Hawks,17,433,21.7,1.04,449,153,387,39.5,52.8,5.5,6.5,4.8,1.4,39.5,51.7
Denver Nuggets,18,386,19.5,1.12,434,157,356,44.1,58.4,4.1,6.0,3.9,2.3,42.5,89.7
San Antonio Spurs,17,455,23.2,0.93,421,147,413,35.6,47.7,5.1,6.2,5.1,2.0,34.9,3.4
Detroit Pistons,17,451,23.3,0.93,418,147,408,36.0,47.8,4.4,6.2,4.0,1.1,35.9,6.9
Philadelphia 76ers,17,373,19.3,1.1,410,141,346,40.8,54.0,6.2,2.7,5.4,1.6,42.4,79.3
Cleveland Cavaliers,18,403,20.2,0.98,397,138,368,37.5,49.7,4.2,4.7,4.0,0.2,38.2,20.7
Houston Rockets,15,362,22.2,1.09,394,140,328,42.7,56.4,5.2,5.8,5.2,1.7,42.0,72.4
Charlotte Hornets,16,421,23.0,0.91,385,136,370,36.8,47.7,5.9,6.9,5.2,0.7,37.1,0.0
Los Angeles Lakers,18,407,20.5,0.93,379,135,371,36.4,48.4,3.2,5.9,3.2,0.2,36.1,10.3
LA Clippers,16,367,20.6,1.01,372,124,324,38.3,51.5,7.1,5.7,6.5,1.1,39.5,44.8
