TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
CHI,42,42,30.7,535,1234,43.4,51.9,13.3,324,534,60.699999999999996,17.4,211,700,30.099999999999998
NYK,43,43,31.7,497,1191,41.699999999999996,50.6,14.899999999999999,286,562,50.9,16.7,211,629,33.5
IND,42,42,31.6,536,1176,45.6,55.1,14.799999999999999,312,553,56.39999999999999,16.7,224,623,36.0
MIA,40,40,32.7,503,1164,43.2,53.1,13.900000000000002,272,494,55.1,18.8,231,670,34.5
PHX,40,40,31.2,500,1120,44.6,54.6,13.900000000000002,277,498,55.60000000000001,17.299999999999997,223,622,35.9
ATL,40,40,30.5,505,1114,45.300000000000004,56.3,13.0,260,476,54.6,17.5,245,638,38.4
DET,41,41,31.1,500,1112,45.0,54.6,13.900000000000002,285,497,57.3,17.2,215,615,35.0
DAL,42,42,29.299999999999997,497,1111,44.7,53.6,14.7,300,558,53.800000000000004,14.6,197,553,35.6
SAC,41,41,30.8,471,1109,42.5,53.1,12.4,235,446,52.7,18.4,236,663,35.6
TOR,42,42,29.7,470,1102,42.6,52.900000000000006,12.3,244,455,53.6,17.4,226,647,34.9
NOP,43,43,28.499999999999996,486,1101,44.1,53.900000000000006,12.3,272,475,57.3,16.2,214,626,34.2
MIN,41,41,30.4,472,1099,42.9,51.6,14.799999999999999,282,533,52.900000000000006,15.7,190,566,33.6
POR,40,40,31.1,502,1098,45.7,55.400000000000006,14.499999999999998,289,510,56.699999999999996,16.7,213,588,36.199999999999996
LAL,39,39,31.5,528,1097,48.1,57.99999999999999,14.799999999999999,312,517,60.3,16.6,216,580,37.2
SAS,40,40,29.599999999999998,483,1097,44.0,53.1,14.299999999999999,285,530,53.800000000000004,15.299999999999999,198,567,34.9
ORL,43,43,31.7,519,1092,47.5,56.699999999999996,15.7,318,540,58.9,16.0,201,552,36.4
MIL,40,40,30.5,479,1092,43.9,53.2,14.099999999999998,276,504,54.800000000000004,16.400000000000002,203,588,34.5
DEN,41,41,29.099999999999998,480,1083,44.3,54.400000000000006,12.9,261,480,54.400000000000006,16.2,219,603,36.3
CLE,40,40,30.0,468,1079,43.4,52.0,14.899999999999999,282,535,52.7,15.1,186,544,34.2
UTA,40,40,29.4,485,1076,45.1,54.1,13.5,290,493,58.8,15.9,195,583,33.4
GSW,40,40,30.099999999999998,480,1062,45.2,55.50000000000001,13.100000000000001,261,461,56.599999999999994,17.0,219,601,36.4
BKN,42,42,30.0,477,1053,45.300000000000004,55.800000000000004,12.9,256,454,56.39999999999999,17.1,221,599,36.9
BOS,41,41,28.9,412,1040,39.6,46.7,14.299999999999999,264,515,51.300000000000004,14.6,148,525,28.199999999999996
WAS,39,39,28.599999999999998,468,1035,45.2,53.800000000000004,13.900000000000002,291,502,57.99999999999999,14.7,177,533,33.2
MEM,42,42,25.8,411,998,41.199999999999996,49.9,11.799999999999999,237,457,51.9,14.000000000000002,174,541,32.2
LAC,40,40,28.999999999999996,432,997,43.3,52.900000000000006,12.0,242,412,58.699999999999996,17.0,190,585,32.5
HOU,40,40,28.4,438,992,44.2,54.2,12.7,238,445,53.5,15.6,200,547,36.6
PHI,39,39,29.9,430,981,43.8,53.800000000000004,12.1,235,395,59.5,17.9,195,586,33.300000000000004
CHA,38,38,28.7,405,954,42.5,51.0,12.7,241,423,56.99999999999999,16.0,164,531,30.9
OKC,41,41,27.200000000000003,380,952,39.900000000000006,49.7,10.299999999999999,194,361,53.7,16.900000000000002,186,591,31.5
