PLAYER,TEAM,GP,W,L,MIN,Touches,ElbowTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
A.J. Lawson,TOR,5,2,3,16.0,29,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630639,1610612761
AJ Green,MIL,50,29,21,1138.0,1469,16,3,5,60.0,0,0,0.0,6,37.5,10,62.5,2,20.0,1,6.3,0,0.0,1631260,1610612749
AJ Johnson,WAS,10,4,6,70.0,137,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642358,1610612764
Aaron Gordon,DEN,35,24,11,940.0,1358,86,8,16,50.0,4,4,100.0,20,23.3,64,74.4,15,23.400000000000002,2,2.3,2,2.3,203932,1610612743
Aaron Holiday,HOU,43,26,17,542.0,816,5,2,3,66.7,0,0,0.0,4,80.0,2,40.0,0,0.0,0,0.0,0,0.0,1628988,1610612745
Aaron Nesmith,IND,22,13,9,476.0,712,7,4,5,80.0,0,0,0.0,8,114.3,2,28.599999999999998,0,0.0,0,0.0,0,0.0,1630174,1610612754
Aaron Wiggins,OKC,57,46,11,1266.0,1780,28,10,15,66.7,0,0,0.0,21,75.0,12,42.9,2,16.7,1,3.5999999999999996,0,0.0,1630598,1610612760
Adam Flagler,OKC,21,18,3,90.0,156,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1641745,1610612760
Adama Sanogo,CHI,4,2,2,22.0,21,5,1,2,50.0,0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,1641766,1610612741
Adem Bona,PHI,40,10,30,445.0,485,26,7,11,63.6,1,4,25.0,15,57.699999999999996,11,42.3,1,9.1,1,3.8,2,7.7,1641737,1610612755
Ajay Mitchell,OKC,34,29,5,561.0,901,6,2,3,66.7,0,0,0.0,5,83.3,2,33.300000000000004,0,0.0,1,16.7,0,0.0,1642349,1610612760
Al Horford,BOS,46,32,14,1221.0,1548,34,1,4,25.0,0,0,0.0,2,5.8999999999999995,26,76.5,4,15.4,2,5.8999999999999995,0,0.0,201143,1610612738
Alec Burks,MIA,32,16,16,541.0,828,4,0,2,0.0,0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,202692,1610612748
Alex Caruso,OKC,36,29,7,694.0,1228,33,9,13,69.19999999999999,0,0,0.0,18,54.50000000000001,19,57.599999999999994,2,10.5,1,3.0,0,0.0,1627936,1610612760
Alex Ducas,OKC,16,15,1,74.0,62,2,0,0,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1642505,1610612760
Alex Len,LAL,38,19,19,287.0,450,51,3,9,33.300000000000004,3,4,75.0,9,17.599999999999998,37,72.5,6,16.2,0,0.0,2,3.9,203458,1610612747
Alex Reese,PHI,1,1,0,2.0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642024,1610612755
Alex Sarr,WAS,43,5,38,1155.0,2076,159,24,72,33.300000000000004,8,12,66.7,56,35.199999999999996,69,43.4,14,20.3,10,6.3,6,3.8,1642259,1610612764
Alondes Williams,DET,1,0,1,4.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631214,1610612765
Alperen Sengun,HOU,56,37,19,1739.0,3471,287,78,138,56.49999999999999,22,32,68.8,179,62.4,108,37.6,27,25.0,17,5.8999999999999995,15,5.2,1630578,1610612745
Amen Thompson,HOU,56,35,21,1799.0,3012,72,18,34,52.900000000000006,8,12,66.7,46,63.9,28,38.9,8,28.599999999999998,3,4.2,6,8.3,1641708,1610612745
Amir Coffey,LAC,55,31,24,1413.0,1478,24,7,9,77.8,8,9,88.9,24,100.0,10,41.699999999999996,3,30.0,1,4.2,4,16.7,1629599,1610612746
Andre Drummond,PHI,34,10,24,622.0,838,54,10,19,52.6,2,4,50.0,22,40.699999999999996,26,48.1,1,3.8,5,9.3,2,3.6999999999999997,203083,1610612755
Andre Jackson Jr.,MIL,54,30,24,889.0,1143,45,7,10,70.0,0,0,0.0,14,31.1,32,71.1,6,18.8,3,6.7,0,0.0,1641748,1610612749
Andrew Nembhard,IND,41,27,14,1163.0,2330,22,8,12,66.7,0,2,0.0,16,72.7,8,36.4,1,12.5,0,0.0,1,4.5,1629614,1610612754
Andrew Wiggins,MIA,48,23,25,1471.0,2286,32,14,19,73.7,4,6,66.7,32,100.0,10,31.3,4,40.0,0,0.0,3,9.4,203952,1610612748
Anfernee Simons,POR,55,23,32,1783.0,3592,10,2,4,50.0,0,0,0.0,4,40.0,3,30.0,0,0.0,1,10.0,0,0.0,1629014,1610612757
Anthony Black,ORL,56,27,29,1375.0,2770,25,6,11,54.50000000000001,1,2,50.0,13,52.0,11,44.0,2,18.2,2,8.0,1,4.0,1641710,1610612753
Anthony Davis,DAL,43,25,18,1470.0,3244,222,67,122,54.900000000000006,24,28,85.7,164,73.9,67,30.2,14,20.9,14,6.3,13,5.8999999999999995,203076,1610612742
Anthony Edwards,MIN,57,31,26,2097.0,4268,23,8,13,61.5,4,4,100.0,20,87.0,6,26.1,2,33.300000000000004,2,8.7,2,8.7,1630162,1610612750
Anthony Gill,WAS,38,5,33,216.0,220,5,1,1,100.0,3,6,50.0,5,100.0,1,20.0,0,0.0,0,0.0,3,60.0,1630264,1610612764
Antonio Reeves,NOP,27,4,23,265.0,302,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,1641810,1610612740
Ariel Hukporti,NYK,25,17,8,217.0,283,21,4,5,80.0,0,0,0.0,8,38.1,12,57.099999999999994,3,25.0,2,9.5,0,0.0,1630574,1610612752
Armel Traoré,LAL,9,5,4,67.0,105,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1642422,1610612747
Ausar Thompson,DET,37,23,14,786.0,1182,32,8,16,50.0,1,2,50.0,17,53.1,12,37.5,3,25.0,1,3.1,1,3.1,1641709,1610612765
Austin Reaves,LAL,51,33,18,1772.0,4087,35,8,12,66.7,0,0,0.0,17,48.6,18,51.4,3,16.7,2,5.7,0,0.0,1630559,1610612747
Ayo Dosunmu,CHI,45,16,29,1371.0,2554,22,8,9,88.9,3,4,75.0,19,86.4,11,50.0,5,45.5,0,0.0,2,9.1,1630245,1610612741
Bam Adebayo,MIA,55,27,28,1879.0,3568,229,60,122,49.2,17,18,94.39999999999999,138,60.3,85,37.1,20,23.5,9,3.9,9,3.9,1628389,1610612748
Baylor Scheierman,BOS,14,12,2,84.0,97,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0,1631248,1610612738
Ben Sheppard,IND,43,27,16,883.0,1206,16,6,8,75.0,0,0,0.0,13,81.3,8,50.0,1,12.5,0,0.0,0,0.0,1641767,1610612754
Ben Simmons,LAC,37,15,22,914.0,2326,61,5,13,38.5,2,2,100.0,13,21.3,41,67.2,12,29.299999999999997,5,8.200000000000001,1,1.6,1627732,1610612746
Bennedict Mathurin,IND,55,31,24,1695.0,2795,55,17,30,56.699999999999996,12,14,85.7,47,85.5,17,30.9,2,11.799999999999999,1,1.7999999999999998,7,12.7,1631097,1610612754
Bilal Coulibaly,WAS,54,10,44,1802.0,2728,33,9,12,75.0,7,8,87.5,25,75.8,14,42.4,2,14.299999999999999,1,3.0,4,12.1,1641731,1610612764
Bismack Biyombo,SAS,6,1,5,96.0,148,12,5,5,100.0,0,2,0.0,10,83.3,5,41.699999999999996,0,0.0,1,8.3,1,8.3,202687,1610612759
Blake Wesley,SAS,35,15,20,304.0,573,3,2,2,100.0,0,0,0.0,4,133.29999999999998,0,0.0,0,0.0,1,33.300000000000004,0,0.0,1631104,1610612759
Bobby Portis,MIL,47,27,20,1160.0,2276,69,14,33,42.4,3,4,75.0,34,49.3,30,43.5,6,20.0,3,4.3,2,2.9000000000000004,1626171,1610612749
Bobi Klintman,DET,4,3,1,10.0,17,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641752,1610612765
Bogdan Bogdanović,LAC,30,15,15,746.0,1104,14,3,4,75.0,1,2,50.0,7,50.0,6,42.9,1,16.7,3,21.4,1,7.1,203992,1610612746
Bol Bol,PHX,22,5,17,267.0,345,5,1,3,33.300000000000004,0,0,0.0,2,40.0,0,0.0,0,0.0,2,40.0,0,0.0,1629626,1610612756
Bones Hyland,LAC,19,8,11,205.0,448,3,1,1,100.0,0,0,0.0,2,66.7,2,66.7,1,50.0,0,0.0,0,0.0,1630538,1610612746
Bradley Beal,PHX,41,18,23,1353.0,2572,44,13,23,56.49999999999999,4,4,100.0,30,68.2,18,40.9,2,11.1,0,0.0,2,4.5,203078,1610612756
Branden Carlson,OKC,18,16,2,96.0,144,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,1642382,1610612760
Brandin Podziemski,GSW,45,25,20,1148.0,2453,43,8,17,47.099999999999994,0,0,0.0,16,37.2,23,53.5,4,17.4,3,7.000000000000001,0,0.0,1641764,1610612744
Brandon Boston,NOP,42,8,34,993.0,1861,17,7,9,77.8,1,2,50.0,15,88.2,6,35.3,1,16.7,0,0.0,1,5.8999999999999995,1630527,1610612740
Brandon Clarke,MEM,54,36,18,1017.0,1276,112,39,66,59.099999999999994,4,6,66.7,85,75.9,38,33.900000000000006,4,10.5,3,2.7,3,2.7,1629634,1610612763
Brandon Ingram,TOR,18,5,13,595.0,1269,28,6,9,66.7,2,2,100.0,14,50.0,12,42.9,3,25.0,3,10.7,1,3.5999999999999996,1627742,1610612761
Brandon Miller,CHA,27,8,19,924.0,1912,15,3,6,50.0,2,2,100.0,9,60.0,6,40.0,0,0.0,1,6.7,1,6.7,1641706,1610612766
Brandon Williams,DAL,20,10,10,172.0,331,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1630314,1610612742
Brice Sensabaugh,UTA,47,11,36,833.0,1148,10,6,8,75.0,0,0,0.0,12,120.0,2,20.0,1,50.0,0,0.0,0,0.0,1641729,1610612762
Bronny James,LAL,17,11,6,72.0,137,4,0,1,0.0,0,0,0.0,0,0.0,3,75.0,2,66.7,0,0.0,0,0.0,1642355,1610612747
Brook Lopez,MIL,56,32,24,1781.0,2070,86,22,36,61.1,9,12,75.0,53,61.6,42,48.8,9,21.4,2,2.3,6,7.000000000000001,201572,1610612749
Bruce Brown,NOP,23,11,12,461.0,700,19,6,10,60.0,0,0,0.0,12,63.2,6,31.6,0,0.0,2,10.5,0,0.0,1628971,1610612740
Bruno Fernando,TOR,17,2,15,147.0,268,41,6,15,40.0,2,4,50.0,14,34.1,19,46.300000000000004,4,21.099999999999998,4,9.8,2,4.9,1628981,1610612761
Bryce McGowens,POR,8,4,4,21.0,44,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631121,1610612757
Bub Carrington,WAS,58,10,48,1697.0,3426,25,8,11,72.7,0,0,0.0,17,68.0,11,44.0,1,9.1,3,12.0,0,0.0,1642267,1610612764
Buddy Hield,GSW,57,31,26,1334.0,2366,22,4,9,44.4,2,2,100.0,11,50.0,11,50.0,0,0.0,0,0.0,1,4.5,1627741,1610612744
CJ McCollum,NOP,44,13,31,1461.0,2725,30,9,15,60.0,0,0,0.0,19,63.3,15,50.0,4,26.700000000000003,0,0.0,0,0.0,203468,1610612740
Cade Cunningham,DET,54,31,23,1916.0,4965,53,14,29,48.3,6,6,100.0,37,69.8,18,34.0,7,38.9,1,1.9,3,5.7,1630595,1610612765
Caleb Houstan,ORL,39,17,22,453.0,450,6,1,2,50.0,0,0,0.0,2,33.300000000000004,3,50.0,0,0.0,0,0.0,0,0.0,1631216,1610612753
Caleb Martin,DAL,31,12,19,943.0,1348,24,3,7,42.9,2,2,100.0,8,33.300000000000004,16,66.7,2,12.5,0,0.0,0,0.0,1628997,1610612742
Cam Christie,LAC,5,3,2,25.0,34,1,0,0,0.0,1,2,50.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,1642353,1610612746
Cam Reddish,LAL,31,15,16,560.0,446,3,1,2,50.0,0,0,0.0,2,66.7,1,33.300000000000004,0,0.0,0,0.0,0,0.0,1629629,1610612747
Cam Spencer,MEM,10,8,2,121.0,239,3,1,1,100.0,0,0,0.0,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0,1642285,1610612763
Cam Thomas,BKN,19,8,11,614.0,1134,12,5,7,71.39999999999999,0,0,0.0,10,83.3,2,16.7,0,0.0,2,16.7,0,0.0,1630560,1610612751
Cam Whitmore,HOU,38,22,16,644.0,806,14,4,10,40.0,2,2,100.0,10,71.39999999999999,2,14.299999999999999,0,0.0,0,0.0,1,7.1,1641715,1610612745
Cameron Johnson,BKN,43,18,25,1373.0,2114,37,12,15,80.0,2,2,100.0,26,70.3,16,43.2,3,18.8,3,8.1,1,2.7,1629661,1610612751
Cameron Payne,NYK,52,36,16,755.0,1542,4,0,1,0.0,0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,1626166,1610612752
Caris LeVert,ATL,45,36,9,1098.0,1669,26,9,10,90.0,2,2,100.0,20,76.9,14,53.800000000000004,4,28.599999999999998,0,0.0,1,3.8,1627747,1610612737
Cason Wallace,OKC,49,39,10,1332.0,1624,23,3,5,60.0,0,0,0.0,6,26.1,16,69.6,5,31.3,2,8.7,0,0.0,1641717,1610612760
Charles Bassey,SAS,34,14,20,363.0,612,37,9,21,42.9,2,2,100.0,20,54.1,12,32.4,2,16.7,2,5.4,0,0.0,1629646,1610612759
Chet Holmgren,OKC,16,13,3,429.0,744,32,9,14,64.3,8,11,72.7,26,81.3,8,25.0,3,37.5,3,9.4,6,18.8,1631096,1610612760
Chris Boucher,TOR,50,18,32,862.0,1108,35,13,17,76.5,12,16,75.0,39,111.4,8,22.900000000000002,1,12.5,1,2.9000000000000004,8,22.900000000000002,1628449,1610612761
Chris Duarte,CHI,17,4,13,74.0,118,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630537,1610612741
Chris Livingston,MIL,12,9,3,57.0,92,1,0,0,0.0,1,2,50.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,1641753,1610612749
Chris Paul,SAS,57,24,33,1645.0,3643,19,2,6,33.300000000000004,0,0,0.0,4,21.099999999999998,11,57.9,1,9.1,0,0.0,0,0.0,101108,1610612759
Christian Braun,DEN,57,37,20,1884.0,2395,98,41,49,83.7,17,20,85.0,101,103.1,26,26.5,6,23.1,6,6.1,8,8.200000000000001,1631128,1610612743
Christian Koloko,LAL,29,19,10,246.0,328,22,3,6,50.0,0,0,0.0,6,27.3,14,63.6,0,0.0,2,9.1,0,0.0,1631132,1610612747
Chuma Okeke,PHI,1,0,1,2.0,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629643,1610612755
Clint Capela,ATL,49,23,26,1081.0,1409,104,27,50,54.0,7,14,50.0,62,59.599999999999994,35,33.7,4,11.4,8,7.7,7,6.7,203991,1610612737
Coby White,CHI,52,19,33,1695.0,3111,9,3,3,100.0,1,2,50.0,7,77.8,4,44.4,0,0.0,0,0.0,0,0.0,1629632,1610612741
Cody Martin,PHX,39,11,28,967.0,1478,19,4,9,44.4,1,2,50.0,9,47.4,8,42.1,1,12.5,0,0.0,1,5.3,1628998,1610612756
Cody Williams,UTA,33,7,26,678.0,778,8,0,2,0.0,2,4,50.0,2,25.0,2,25.0,0,0.0,1,12.5,2,25.0,1642262,1610612762
Colby Jones,WAS,24,10,14,130.0,167,4,0,2,0.0,0,0,0.0,0,0.0,1,25.0,1,100.0,1,25.0,0,0.0,1641732,1610612764
Cole Anthony,ORL,55,28,27,994.0,2169,20,3,6,50.0,1,2,50.0,7,35.0,11,55.00000000000001,5,45.5,2,10.0,1,5.0,1630175,1610612753
Cole Swider,DET,2,0,2,13.0,18,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631306,1610612765
Colin Castleton,MEM,10,9,1,46.0,51,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1630658,1610612763
Collin Gillespie,PHX,9,3,6,45.0,110,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0,1631221,1610612756
Collin Sexton,UTA,45,11,34,1281.0,2529,30,4,15,26.700000000000003,0,0,0.0,8,26.700000000000003,13,43.3,3,23.1,2,6.7,0,0.0,1629012,1610612762
Corey Kispert,WAS,53,9,44,1413.0,1801,27,7,17,41.199999999999996,2,2,100.0,16,59.3,8,29.599999999999998,1,12.5,0,0.0,1,3.6999999999999997,1630557,1610612764
Cory Joseph,ORL,32,15,17,233.0,516,3,0,0,0.0,0,0,0.0,0,0.0,3,100.0,1,33.300000000000004,0,0.0,0,0.0,202709,1610612753
Craig Porter Jr.,CLE,37,31,6,342.0,586,9,3,5,60.0,1,1,100.0,8,88.9,4,44.4,2,50.0,0,0.0,1,11.1,1641854,1610612739
Cui Yongxi,BKN,5,2,3,10.0,14,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642385,1610612751
D'Angelo Russell,BKN,46,24,22,1172.0,2911,22,8,11,72.7,0,0,0.0,17,77.3,9,40.9,3,33.300000000000004,0,0.0,0,0.0,1626156,1610612751
D.J. Carton,TOR,4,1,3,33.0,54,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630618,1610612761
DaQuan Jeffries,CHA,22,4,18,422.0,428,7,1,4,25.0,0,0,0.0,2,28.599999999999998,2,28.599999999999998,0,0.0,0,0.0,0,0.0,1629610,1610612766
Daeqwon Plowden,ATL,2,1,1,33.0,47,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1631342,1610612737
Daishen Nix,MIN,3,3,0,13.0,27,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630227,1610612750
Dalano Banton,POR,46,18,28,704.0,1550,12,2,4,50.0,0,0,0.0,5,41.699999999999996,5,41.699999999999996,1,20.0,2,16.7,0,0.0,1630625,1610612757
Dalen Terry,CHI,52,19,33,659.0,1070,16,5,5,100.0,0,0,0.0,10,62.5,10,62.5,0,0.0,0,0.0,0,0.0,1631207,1610612741
Dalton Knecht,LAL,53,32,21,1056.0,1404,35,7,11,63.6,6,6,100.0,20,57.099999999999994,20,57.099999999999994,3,15.0,1,2.9000000000000004,3,8.6,1642261,1610612747
Damian Lillard,MIL,47,26,21,1713.0,4118,16,1,4,25.0,3,4,75.0,5,31.3,7,43.8,1,14.299999999999999,1,6.3,2,12.5,203081,1610612749
Damion Baugh,CHA,4,0,4,114.0,232,3,0,0,0.0,1,2,50.0,1,33.300000000000004,1,33.300000000000004,0,0.0,1,33.300000000000004,1,33.300000000000004,1641878,1610612766
Damion Lee,PHX,15,4,11,100.0,160,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1627814,1610612756
Daniel Gafford,DAL,51,26,25,1115.0,1717,126,38,58,65.5,11,16,68.8,89,70.6,49,38.9,9,18.4,6,4.8,8,6.3,1629655,1610612742
Daniel Theis,NOP,38,10,28,621.0,916,49,8,18,44.4,10,14,71.39999999999999,26,53.1,19,38.800000000000004,3,15.8,4,8.200000000000001,6,12.2,1628464,1610612740
Daniss Jenkins,DET,5,3,2,10.0,17,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642450,1610612765
Danté Exum,DAL,10,4,6,190.0,396,3,0,1,0.0,0,0,0.0,0,0.0,2,66.7,1,50.0,0,0.0,0,0.0,203957,1610612742
Dario Šarić,DEN,14,6,8,199.0,336,59,1,9,11.1,0,0,0.0,2,3.4000000000000004,42,71.2,7,16.7,6,10.2,0,0.0,203967,1610612743
Dariq Whitehead,BKN,9,3,6,57.0,74,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641727,1610612751
Darius Garland,CLE,54,44,10,1625.0,3376,30,5,7,71.39999999999999,4,4,100.0,15,50.0,15,50.0,6,40.0,2,6.7,2,6.7,1629636,1610612739
David Duke Jr.,SAS,3,0,3,15.0,25,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630561,1610612759
David Roddy,PHI,30,9,21,375.0,608,7,2,2,100.0,0,0,0.0,4,57.099999999999994,5,71.39999999999999,1,20.0,0,0.0,0,0.0,1631223,1610612755
Davion Mitchell,MIA,51,17,34,1304.0,2674,10,3,4,75.0,0,0,0.0,7,70.0,5,50.0,0,0.0,1,10.0,0,0.0,1630558,1610612748
Day'Ron Sharpe,BKN,36,12,24,635.0,1156,90,9,22,40.9,6,8,75.0,24,26.700000000000003,58,64.4,13,22.400000000000002,3,3.3000000000000003,4,4.3999999999999995,1630549,1610612751
De'Aaron Fox,SAS,54,23,31,1973.0,4369,29,12,20,60.0,0,0,0.0,25,86.2,9,31.0,3,33.300000000000004,0,0.0,0,0.0,1628368,1610612759
De'Andre Hunter,CLE,43,24,19,1211.0,1685,36,8,19,42.1,6,8,75.0,23,63.9,8,22.2,1,12.5,4,11.1,4,11.1,1629631,1610612739
De'Anthony Melton,BKN,6,4,2,121.0,259,3,0,0,0.0,0,0,0.0,0,0.0,2,66.7,0,0.0,1,33.300000000000004,0,0.0,1629001,1610612751
DeAndre Jordan,DEN,43,30,13,499.0,680,86,10,17,58.8,2,6,33.300000000000004,22,25.6,56,65.10000000000001,12,21.4,6,7.000000000000001,3,3.5000000000000004,201599,1610612743
DeMar DeRozan,SAC,52,27,25,1857.0,2671,44,15,26,57.699999999999996,2,2,100.0,34,77.3,13,29.5,3,23.1,3,6.800000000000001,1,2.3,201942,1610612758
Dean Wade,CLE,38,33,5,851.0,1135,18,3,4,75.0,0,0,0.0,7,38.9,14,77.8,2,14.299999999999999,0,0.0,0,0.0,1629731,1610612739
Deandre Ayton,POR,40,17,23,1206.0,1802,177,53,105,50.5,4,6,66.7,110,62.1,61,34.5,11,18.0,6,3.4000000000000004,3,1.7000000000000002,1629028,1610612757
Dejounte Murray,NOP,31,9,22,1012.0,2496,10,1,6,16.7,0,0,0.0,2,20.0,4,40.0,0,0.0,0,0.0,0,0.0,1627749,1610612740
Delon Wright,NYK,29,15,14,417.0,805,3,0,0,0.0,0,0,0.0,0,0.0,2,66.7,1,50.0,1,33.300000000000004,0,0.0,1626153,1610612752
Deni Avdija,POR,56,26,30,1588.0,3321,51,10,18,55.60000000000001,2,2,100.0,22,43.1,25,49.0,4,16.0,7,13.700000000000001,1,2.0,1630166,1610612757
Dennis Schröder,DET,52,26,26,1488.0,3838,13,4,5,80.0,0,0,0.0,8,61.5,5,38.5,3,60.0,1,7.7,0,0.0,203471,1610612765
Dereck Lively II,DAL,32,19,13,768.0,1181,107,19,32,59.4,11,14,78.60000000000001,49,45.800000000000004,60,56.10000000000001,14,23.3,5,4.7,7,6.5,1641726,1610612742
Derrick Jones Jr.,LAC,55,31,24,1348.0,1747,46,8,22,36.4,5,6,83.3,22,47.8,18,39.1,1,5.6000000000000005,2,4.3,2,4.3,1627884,1610612746
Derrick White,BOS,55,40,15,1839.0,3870,23,8,8,100.0,3,4,75.0,21,91.3,11,47.8,2,18.2,1,4.3,2,8.7,1628401,1610612738
