PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
A.J. Lawson,TOR,19,12,7,329.0,1,6,16.7,1.0,5.0,20.0,25.0,3,1630639,1610612761
AJ Green,MIL,66,37,29,1495.0,49,118,41.5,31.0,81.0,38.3,54.7,129,1631260,1610612749
AJ Johnson,WAS,21,6,15,360.0,6,22,27.3,6.0,21.0,28.599999999999998,40.9,18,1642358,1610612764
Aaron Gordon,DEN,45,30,15,1230.0,35,87,40.2,16.0,41.0,39.0,49.4,86,203932,1610612743
Aaron Holiday,HOU,56,36,20,714.0,19,58,32.800000000000004,8.0,33.0,24.2,39.7,46,1628988,1610612745
Aaron Nesmith,IND,38,22,16,937.0,25,61,41.0,11.0,28.0,39.300000000000004,50.0,61,1630174,1610612754
Aaron Wiggins,OKC,70,58,12,1588.0,38,101,37.6,19.0,52.0,36.5,47.0,95,1630598,1610612760
Adam Flagler,OKC,32,29,3,143.0,8,26,30.8,4.0,17.0,23.5,38.5,20,1641745,1610612760
Adama Sanogo,CHI,4,2,2,21.0,0,0,,,,,,0,1641766,1610612741
Adem Bona,PHI,51,11,40,684.0,0,0,,,,,,0,1641737,1610612755
Ajay Mitchell,OKC,34,29,5,561.0,12,26,46.2,2.0,6.0,33.300000000000004,50.0,26,1642349,1610612760
Al Horford,BOS,56,40,16,1542.0,3,8,37.5,1.0,2.0,50.0,43.8,7,201143,1610612738
Alec Burks,MIA,42,22,20,723.0,22,51,43.1,14.0,32.0,43.8,56.89999999999999,58,202692,1610612748
Alex Caruso,OKC,49,41,8,943.0,8,31,25.8,5.0,20.0,25.0,33.900000000000006,21,1627936,1610612760
Alex Ducas,OKC,19,18,1,96.0,0,1,0.0,0.0,0.0,,0.0,0,1642505,1610612760
Alex Len,LAL,45,21,24,366.0,2,2,100.0,1.0,1.0,100.0,125.0,5,203458,1610612747
Alex Reese,PHI,12,3,9,183.0,0,0,,0.0,0.0,,,0,1642024,1610612755
Alex Sarr,WAS,59,11,48,1594.0,21,61,34.4,3.0,11.0,27.3,36.9,45,1642259,1610612764
Alondes Williams,DET,1,0,1,4.0,0,0,,0.0,0.0,,,0,1631214,1610612765
Alperen Sengun,HOU,71,49,22,2241.0,44,112,39.300000000000004,0.0,8.0,0.0,39.300000000000004,88,1630578,1610612745
Amen Thompson,HOU,64,40,24,2071.0,30,86,34.9,1.0,11.0,9.1,35.5,61,1641708,1610612745
Amir Coffey,LAC,71,40,31,1744.0,51,121,42.1,8.0,28.0,28.599999999999998,45.5,110,1629599,1610612746
Andre Drummond,PHI,40,12,28,751.0,1,2,50.0,0.0,1.0,0.0,50.0,2,203083,1610612755
Andre Jackson Jr.,MIL,62,34,28,926.0,8,21,38.1,4.0,9.0,44.4,47.599999999999994,20,1641748,1610612749
Andrew Nembhard,IND,58,37,21,1687.0,73,175,41.699999999999996,10.0,36.0,27.800000000000004,44.6,156,1629614,1610612754
Andrew Wiggins,MIA,58,26,32,1791.0,71,201,35.3,31.0,94.0,33.0,43.0,173,203952,1610612748
Anfernee Simons,POR,70,28,42,2292.0,192,501,38.3,101.0,291.0,34.699999999999996,48.4,485,1629014,1610612757
Anthony Black,ORL,71,34,37,1703.0,38,114,33.300000000000004,11.0,43.0,25.6,38.2,87,1641710,1610612753
Anthony Davis,DAL,46,28,18,1556.0,67,162,41.4,3.0,13.0,23.1,42.3,137,203076,1610612742
Anthony Edwards,MIN,72,42,30,2603.0,302,801,37.7,210.0,537.0,39.1,50.8,814,1630162,1610612750
Anthony Gill,WAS,47,6,41,316.0,0,4,0.0,0.0,1.0,0.0,0.0,0,1630264,1610612764
Anton Watson,NYK,7,4,3,19.0,0,0,,,,,,0,1641817,1610612752
Antonio Reeves,NOP,37,6,31,427.0,18,41,43.9,8.0,21.0,38.1,53.7,44,1641810,1610612740
Ariel Hukporti,NYK,25,17,8,217.0,2,3,66.7,,,,66.7,4,1630574,1610612752
Armel Traoré,LAL,9,5,4,67.0,0,0,,0.0,0.0,,,0,1642422,1610612747
Ausar Thompson,DET,53,32,21,1158.0,5,28,17.9,1.0,7.0,14.299999999999999,19.6,11,1641709,1610612765
Austin Reaves,LAL,66,41,25,2292.0,133,350,38.0,71.0,211.0,33.6,48.1,337,1630559,1610612747
Ayo Dosunmu,CHI,46,17,29,1394.0,14,49,28.599999999999998,8.0,30.0,26.700000000000003,36.7,36,1630245,1610612741
Bam Adebayo,MIA,72,33,39,2479.0,108,258,41.9,12.0,38.0,31.6,44.2,228,1628389,1610612748
Baylor Scheierman,BOS,24,22,2,257.0,7,14,50.0,5.0,8.0,62.5,67.9,19,1631248,1610612738
Ben Sheppard,IND,60,37,23,1181.0,9,26,34.599999999999994,4.0,20.0,20.0,42.3,22,1641767,1610612754
Ben Simmons,LAC,46,21,25,1057.0,10,20,50.0,,,,50.0,20,1627732,1610612746
Bennedict Mathurin,IND,67,39,28,2014.0,83,263,31.6,43.0,147.0,29.299999999999997,39.7,209,1631097,1610612754
Bilal Coulibaly,WAS,59,13,46,1948.0,35,123,28.499999999999996,12.0,36.0,33.300000000000004,33.300000000000004,82,1641731,1610612764
Bismack Biyombo,SAS,20,7,13,357.0,0,0,,,,,,0,202687,1610612759
Blake Wesley,SAS,50,20,30,527.0,6,18,33.300000000000004,2.0,6.0,33.300000000000004,38.9,14,1631104,1610612759
Bobby Portis,MIL,46,27,19,1160.0,53,129,41.099999999999994,5.0,9.0,55.60000000000001,43.0,111,1626171,1610612749
Bobi Klintman,DET,7,4,3,19.0,0,0,,0.0,0.0,,,0,1641752,1610612765
Bogdan Bogdanović,LAC,46,25,21,1167.0,60,138,43.5,23.0,67.0,34.300000000000004,51.800000000000004,143,203992,1610612746
Bol Bol,PHX,34,10,24,442.0,31,60,51.7,6.0,22.0,27.3,56.699999999999996,68,1629626,1610612756
Bones Hyland,MIN,23,10,13,237.0,25,66,37.9,20.0,50.0,40.0,53.0,70,1630538,1610612750
Bradley Beal,PHX,48,21,27,1545.0,100,237,42.199999999999996,22.0,67.0,32.800000000000004,46.800000000000004,222,203078,1610612756
Branden Carlson,OKC,25,23,2,167.0,2,2,100.0,0.0,0.0,,100.0,4,1642382,1610612760
Brandin Podziemski,GSW,56,33,23,1458.0,72,190,37.9,29.0,96.0,30.2,45.5,173,1641764,1610612744
Brandon Boston,NOP,42,8,34,993.0,63,170,37.1,15.0,56.0,26.8,41.5,141,1630527,1610612740
Brandon Clarke,MEM,64,40,24,1207.0,6,18,33.300000000000004,0.0,0.0,,33.300000000000004,12,1629634,1610612763
Brandon Ingram,TOR,18,5,13,595.0,73,172,42.4,13.0,42.0,31.0,46.2,159,1627742,1610612761
Brandon Miller,CHA,27,8,19,924.0,55,176,31.3,31.0,102.0,30.4,40.1,141,1641706,1610612766
Brandon Williams,DAL,31,14,17,458.0,14,37,37.8,4.0,21.0,19.0,43.2,32,1630314,1610612742
Brice Sensabaugh,UTA,64,13,51,1211.0,61,156,39.1,29.0,81.0,35.8,48.4,151,1641729,1610612762
Bronny James,LAL,23,14,9,135.0,8,23,34.8,5.0,15.0,33.300000000000004,45.7,21,1642355,1610612747
Brook Lopez,MIL,73,40,33,2337.0,27,72,37.5,5.0,13.0,38.5,41.0,59,201572,1610612749
Bruce Brown,NOP,37,15,22,820.0,18,51,35.3,3.0,6.0,50.0,38.2,39,1628971,1610612740
Bruno Fernando,TOR,17,2,15,147.0,0,1,0.0,,,,0.0,0,1628981,1610612761
Bryce McGowens,POR,13,8,5,32.0,0,3,0.0,0.0,2.0,0.0,0.0,0,1631121,1610612757
Bub Carrington,WAS,74,16,58,2155.0,125,304,41.099999999999994,51.0,157.0,32.5,49.5,301,1642267,1610612764
Buddy Hield,GSW,74,43,31,1702.0,64,197,32.5,45.0,141.0,31.900000000000002,43.9,173,1627741,1610612744
CJ McCollum,NOP,56,17,39,1832.0,166,441,37.6,76.0,224.0,33.900000000000006,46.300000000000004,408,203468,1610612740
Cade Cunningham,DET,66,37,29,2321.0,215,529,40.6,85.0,256.0,33.2,48.699999999999996,515,1630595,1610612765
Caleb Houstan,ORL,51,24,27,628.0,8,18,44.4,4.0,10.0,40.0,55.60000000000001,20,1631216,1610612753
Caleb Martin,DAL,38,15,23,1063.0,24,67,35.8,1.0,15.0,6.7,36.6,49,1628997,1610612742
Cam Christie,LAC,8,5,3,41.0,0,5,0.0,0.0,4.0,0.0,0.0,0,1642353,1610612746
Cam Reddish,LAL,33,15,18,589.0,1,6,16.7,0.0,3.0,0.0,16.7,2,1629629,1610612747
Cam Spencer,MEM,20,11,9,199.0,4,12,33.300000000000004,3.0,6.0,50.0,45.800000000000004,11,1642285,1610612763
Cam Thomas,BKN,25,8,17,781.0,92,227,40.5,45.0,123.0,36.6,50.4,229,1630560,1610612751
Cam Whitmore,HOU,45,27,18,726.0,37,96,38.5,24.0,68.0,35.3,51.0,98,1641715,1610612745
Cameron Johnson,BKN,57,21,36,1800.0,84,220,38.2,42.0,117.0,35.9,47.699999999999996,210,1629661,1610612751
Cameron Payne,NYK,66,43,23,981.0,72,169,42.6,44.0,108.0,40.699999999999996,55.60000000000001,188,1626166,1610612752
Caris LeVert,ATL,57,43,14,1418.0,51,137,37.2,32.0,79.0,40.5,48.9,134,1627747,1610612737
Cason Wallace,OKC,63,52,11,1736.0,20,62,32.300000000000004,7.0,25.0,28.000000000000004,37.9,47,1641717,1610612760
Charles Bassey,SAS,35,14,21,372.0,1,4,25.0,,,,25.0,2,1629646,1610612759
Chet Holmgren,OKC,26,22,4,707.0,12,38,31.6,4.0,7.0,57.099999999999994,36.8,28,1631096,1610612760
Chris Boucher,TOR,50,18,32,862.0,13,35,37.1,4.0,17.0,23.5,42.9,30,1628449,1610612761
Chris Duarte,CHI,17,4,13,74.0,2,9,22.2,2.0,9.0,22.2,33.300000000000004,6,1630537,1610612741
Chris Livingston,MIL,18,12,6,80.0,0,0,,0.0,0.0,,,0,1641753,1610612749
Chris Paul,SAS,74,31,43,2071.0,150,358,41.9,79.0,210.0,37.6,52.900000000000006,379,101108,1610612759
Christian Braun,DEN,73,45,28,2443.0,35,80,43.8,14.0,34.0,41.199999999999996,52.5,84,1631128,1610612743
Christian Koloko,LAL,34,22,12,318.0,1,1,100.0,0.0,0.0,,100.0,2,1631132,1610612747
Chuma Okeke,PHI,7,1,6,171.0,1,2,50.0,1.0,2.0,50.0,75.0,3,1629643,1610612755
Clint Capela,ATL,55,27,28,1176.0,0,1,0.0,0.0,0.0,,0.0,0,203991,1610612737
Coby White,CHI,67,29,38,2240.0,129,342,37.7,80.0,227.0,35.199999999999996,49.4,338,1629632,1610612741
Cody Martin,PHX,47,15,32,1088.0,24,72,33.300000000000004,9.0,26.0,34.599999999999994,39.6,57,1628998,1610612756
Cody Williams,UTA,50,9,41,1060.0,6,31,19.400000000000002,1.0,6.0,16.7,21.0,13,1642262,1610612762
Colby Jones,WAS,33,11,22,314.0,13,27,48.1,6.0,11.0,54.50000000000001,59.3,32,1641732,1610612764
Cole Anthony,ORL,61,30,31,1135.0,63,170,37.1,18.0,51.0,35.3,42.4,144,1630175,1610612753
Cole Swider,TOR,5,3,2,70.0,3,7,42.9,0.0,4.0,0.0,42.9,6,1631306,1610612761
Colin Castleton,TOR,20,14,6,305.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1630658,1610612761
Collin Gillespie,PHX,26,11,15,297.0,11,36,30.599999999999998,6.0,18.0,33.300000000000004,38.9,28,1631221,1610612756
Collin Sexton,UTA,59,13,46,1644.0,111,274,40.5,50.0,129.0,38.800000000000004,49.6,272,1629012,1610612762
Corey Kispert,WAS,61,14,47,1602.0,24,71,33.800000000000004,16.0,48.0,33.300000000000004,45.1,64,1630557,1610612764
Cory Joseph,ORL,44,21,23,489.0,13,32,40.6,5.0,17.0,29.4,48.4,31,202709,1610612753
Craig Porter Jr.,CLE,46,37,9,409.0,13,32,40.6,10.0,21.0,47.599999999999994,56.3,36,1641854,1610612739
Cui Yongxi,BKN,5,2,3,10.0,0,0,,0.0,0.0,,,0,1642385,1610612751
D'Angelo Russell,BKN,56,25,31,1436.0,91,261,34.9,54.0,160.0,33.800000000000004,45.2,236,1626156,1610612751
D.J. Carton,TOR,4,1,3,33.0,0,0,,0.0,0.0,,,0,1630618,1610612761
DaQuan Jeffries,CHA,39,8,31,861.0,12,28,42.9,4.0,13.0,30.8,50.0,28,1629610,1610612766
Daeqwon Plowden,ATL,2,1,1,33.0,0,0,,0.0,0.0,,,0,1631342,1610612737
Daishen Nix,MIN,3,3,0,13.0,0,0,,0.0,0.0,,,0,1630227,1610612750
Dalano Banton,POR,60,24,36,887.0,24,73,32.9,11.0,33.0,33.300000000000004,40.400000000000006,59,1630625,1610612757
Dalen Terry,CHI,67,29,38,880.0,2,11,18.2,1.0,6.0,16.7,22.7,5,1631207,1610612741
Dalton Knecht,LAL,71,42,29,1407.0,51,113,45.1,21.0,52.0,40.400000000000006,54.400000000000006,123,1642261,1610612747
Damian Lillard,MIL,58,32,26,2093.0,201,497,40.400000000000006,107.0,306.0,35.0,51.2,509,203081,1610612749
Damion Baugh,CHA,11,1,10,287.0,1,9,11.1,1.0,7.0,14.299999999999999,16.7,3,1641878,1610612766
Damion Lee,PHX,20,5,15,122.0,4,15,26.700000000000003,0.0,5.0,0.0,26.700000000000003,8,1627814,1610612756
Daniel Gafford,DAL,51,26,25,1115.0,1,3,33.300000000000004,,,,33.300000000000004,2,1629655,1610612742
Daniel Theis,NOP,38,10,28,621.0,6,12,50.0,0.0,1.0,0.0,50.0,12,1628464,1610612740
