TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Indiana Pacers,4,115,27.7,1.24,142,50,105,47.6,63.8,4.3,4.3,3.5,0.0,47.8,100.0
Minnesota Timberwolves,4,118,28.0,1.17,138,48,104,46.2,59.6,7.6,5.1,7.6,0.8,47.5,86.7
Milwaukee Bucks,4,111,25.8,1.19,132,44,103,42.7,61.7,3.6,3.6,3.6,0.0,42.3,93.3
LA Clippers,4,109,25.8,1.07,117,39,99,39.4,53.5,6.4,2.8,6.4,0.0,41.3,46.7
Cleveland Cavaliers,4,100,24.2,1.13,113,40,94,42.6,59.0,1.0,5.0,1.0,0.0,41.0,80.0
Miami Heat,4,124,30.0,0.86,106,37,118,31.4,43.6,2.4,3.2,2.4,0.8,31.5,6.7
Golden State Warriors,4,121,29.7,0.85,103,36,114,31.6,41.7,5.0,1.7,5.0,0.8,33.9,0.0
Los Angeles Lakers,4,86,21.3,1.13,97,32,76,42.1,58.6,5.8,5.8,4.7,0.0,43.0,73.3
New York Knicks,4,87,20.2,1.09,95,32,78,41.0,54.5,6.9,4.6,5.7,1.1,42.5,60.0
Memphis Grizzlies,4,102,22.2,0.88,90,31,89,34.8,45.5,4.9,8.8,4.9,1.0,34.3,26.7
Orlando Magic,4,97,23.3,0.92,89,32,89,36.0,46.1,5.2,4.1,5.2,1.0,37.1,33.3
Oklahoma City Thunder,4,100,21.4,0.88,88,29,94,30.9,43.1,5.0,1.0,5.0,0.0,34.0,20.0
Denver Nuggets,4,88,20.2,0.97,85,29,80,36.3,51.9,1.1,8.0,1.1,0.0,34.1,40.0
Houston Rockets,4,92,21.2,0.87,80,29,86,33.7,45.9,1.1,5.4,1.1,0.0,32.6,13.3
Boston Celtics,4,72,17.6,1.08,78,27,66,40.9,56.1,2.8,5.6,1.4,0.0,40.3,53.3
Detroit Pistons,4,65,14.8,1.11,72,22,58,37.9,53.4,7.7,3.1,6.2,0.0,41.5,66.7
