TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Denver Nuggets,56,656,10.3,1.39,913,394,546,72.2,72.2,15.4,5.2,14.6,3.8,70.9,93.1
Golden State Warriors,54,580,9.5,1.28,745,319,492,64.8,64.8,14.1,5.2,13.8,4.1,64.1,37.9
Cleveland Cavaliers,55,499,8.1,1.44,721,312,418,74.6,74.6,14.2,5.2,13.8,3.2,72.3,100.0
Atlanta Hawks,54,554,8.8,1.26,697,308,479,64.3,64.3,12.1,4.5,11.7,3.1,63.5,27.6
Toronto Raptors,56,571,9.0,1.19,679,286,467,61.2,61.2,13.8,7.4,13.5,3.0,60.2,6.9
Orlando Magic,56,478,7.8,1.33,637,266,393,67.7,67.7,16.5,5.9,16.1,4.6,67.2,51.7
Los Angeles Lakers,54,436,7.4,1.38,603,255,359,71.0,71.0,16.5,4.8,15.6,3.7,70.2,89.7
Memphis Grizzlies,55,453,6.9,1.31,592,259,396,65.4,65.4,12.8,4.9,12.6,5.1,64.7,44.8
Oklahoma City Thunder,53,428,7.2,1.38,591,259,375,69.1,69.1,12.4,4.2,12.4,4.2,68.2,86.2
Utah Jazz,55,440,7.0,1.33,587,235,354,66.4,66.4,20.2,5.0,18.9,5.7,66.8,58.6
New York Knicks,54,442,7.4,1.33,586,266,385,69.1,69.1,9.7,5.2,9.7,2.0,66.7,48.3
Dallas Mavericks,55,412,6.7,1.34,551,233,332,70.2,70.2,16.0,6.6,15.0,3.2,68.7,62.1
LA Clippers,55,390,6.4,1.35,528,244,355,68.7,68.7,10.0,3.1,10.0,4.1,67.7,79.3
Miami Heat,54,413,7.0,1.27,526,225,345,65.2,65.2,12.8,6.3,12.6,2.7,64.2,34.5
Phoenix Suns,56,413,6.8,1.24,512,222,341,65.1,65.1,13.1,6.5,12.1,2.2,63.0,20.7
Indiana Pacers,54,378,6.4,1.33,504,218,317,68.8,68.8,14.8,4.0,14.6,2.6,68.5,55.2
San Antonio Spurs,53,374,6.3,1.34,501,218,320,68.1,68.1,13.4,5.1,13.1,4.0,66.8,65.5
Sacramento Kings,54,396,6.5,1.25,495,202,314,64.3,64.3,17.4,8.1,17.2,4.8,63.6,24.1
Houston Rockets,53,400,6.5,1.23,491,211,338,62.4,62.4,14.2,4.5,14.0,3.3,62.5,13.8
Brooklyn Nets,55,397,6.6,1.23,489,218,344,63.4,63.4,11.3,5.0,11.3,3.0,62.5,17.2
Boston Celtics,56,353,5.7,1.37,483,206,296,69.6,69.6,13.9,4.0,13.6,1.7,69.7,82.8
Minnesota Timberwolves,57,358,5.7,1.35,482,209,309,67.6,67.6,13.7,3.9,13.1,3.9,67.3,69.0
Washington Wizards,54,382,6.2,1.26,482,205,317,64.7,64.7,13.6,6.3,13.1,2.9,63.6,31.0
Detroit Pistons,56,351,5.5,1.35,473,200,287,69.7,69.7,17.9,4.3,17.9,4.0,69.5,72.4
Milwaukee Bucks,52,338,5.9,1.3,440,188,282,66.7,66.7,14.2,5.6,13.3,3.3,66.0,41.4
Chicago Bulls,56,312,4.9,1.4,436,187,264,70.8,70.8,14.7,5.1,14.1,4.5,69.6,96.6
New Orleans Pelicans,56,366,5.7,1.15,420,175,301,58.1,58.1,15.3,7.7,15.0,5.2,57.7,3.4
Charlotte Hornets,54,346,5.6,1.2,417,168,274,61.3,61.3,19.1,7.5,17.9,5.8,60.4,10.3
Portland Trail Blazers,56,350,5.5,1.1,384,162,282,57.4,57.4,11.4,10.6,11.1,2.6,54.9,0.0
Philadelphia 76ers,54,282,4.8,1.35,381,158,236,66.9,66.9,16.3,4.3,14.9,4.3,66.7,75.9
