TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Memphis Grizzlies,58,408,5.9,0.53,217,42,116,36.2,39.2,22.1,50.2,4.2,0.7,30.1,75.9
Atlanta Hawks,57,368,5.5,0.57,211,33,95,34.7,38.9,25.0,49.5,2.2,0.3,31.8,96.6
Philadelphia 76ers,58,368,5.8,0.52,193,28,87,32.2,33.9,25.5,51.1,3.3,0.3,30.7,65.5
Indiana Pacers,57,353,5.6,0.54,192,43,98,43.9,48.0,19.3,54.4,3.1,1.4,28.6,79.3
Portland Trail Blazers,59,365,5.4,0.53,192,45,100,45.0,48.5,16.7,56.2,3.6,0.3,27.7,69.0
Orlando Magic,59,375,5.8,0.51,192,35,102,34.3,37.3,20.5,52.5,2.4,0.3,28.0,62.1
Cleveland Cavaliers,58,291,4.5,0.66,191,33,74,44.6,48.0,26.1,49.1,3.1,0.7,36.1,100.0
Denver Nuggets,58,372,5.7,0.51,190,29,98,29.6,33.2,21.0,53.2,3.2,0.5,27.4,58.6
Dallas Mavericks,58,337,5.2,0.56,187,28,71,39.4,45.8,24.0,55.5,2.4,0.6,30.3,93.1
Houston Rockets,57,340,5.1,0.54,185,31,89,34.8,37.1,25.9,48.8,2.1,0.9,30.9,82.8
Utah Jazz,58,434,6.6,0.42,184,41,103,39.8,43.7,15.2,61.3,2.5,0.2,22.1,13.8
Phoenix Suns,58,332,5.2,0.55,182,22,59,37.3,40.7,26.2,56.0,1.8,0.0,31.9,89.7
Los Angeles Lakers,56,367,6.0,0.49,180,27,77,35.1,39.0,21.3,58.9,1.9,1.1,26.2,37.9
Washington Wizards,58,385,5.8,0.45,173,35,106,33.0,34.4,16.6,55.8,2.3,0.0,24.9,24.1
Milwaukee Bucks,55,324,5.4,0.53,172,33,73,45.2,50.0,18.2,60.2,3.7,0.9,26.9,72.4
Brooklyn Nets,58,371,5.9,0.46,171,28,68,41.2,47.1,19.4,62.3,1.6,0.0,25.9,27.6
San Antonio Spurs,57,331,5.2,0.51,168,32,89,36.0,39.3,19.9,53.8,1.5,0.6,28.4,55.2
Sacramento Kings,58,324,4.9,0.49,160,33,88,37.5,40.9,17.9,55.9,3.4,0.9,25.6,44.8
Golden State Warriors,57,361,5.6,0.44,159,25,72,34.7,38.9,20.5,60.4,2.2,0.8,24.9,20.7
New York Knicks,57,311,5.0,0.5,156,32,76,42.1,44.7,18.3,58.8,4.5,1.6,26.4,48.3
Detroit Pistons,59,407,6.1,0.38,155,31,84,36.9,39.9,15.7,63.6,2.9,0.0,21.6,3.4
Minnesota Timberwolves,59,313,4.8,0.49,154,23,71,32.4,34.5,20.4,57.2,2.2,0.3,27.2,41.4
Chicago Bulls,59,313,4.6,0.49,153,32,77,41.6,47.4,16.3,59.1,1.6,0.0,26.2,34.5
Miami Heat,57,303,4.9,0.5,152,26,71,36.6,38.7,20.1,57.1,3.3,0.7,27.1,51.7
Charlotte Hornets,57,369,5.7,0.41,151,28,93,30.1,34.4,17.9,57.5,2.7,0.5,22.0,6.9
LA Clippers,58,358,5.6,0.42,149,30,64,46.9,50.0,15.6,66.8,1.7,0.3,22.9,10.3
Boston Celtics,59,314,4.8,0.46,145,25,72,34.7,41.7,20.1,57.3,1.6,0.3,25.8,31.0
New Orleans Pelicans,58,316,4.8,0.44,139,30,71,42.3,48.6,13.9,63.9,1.9,0.3,22.8,17.2
Toronto Raptors,59,382,5.7,0.35,134,25,93,26.9,30.1,16.0,61.0,2.9,1.3,19.6,0.0
Oklahoma City Thunder,56,243,3.9,0.55,133,32,75,42.7,46.7,17.3,52.7,1.2,0.8,29.6,86.2
