TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Denver Nuggets,23,198,7.5,0.89,176,70,150,46.7,46.7,12.1,15.2,10.6,3.0,44.4,27.6
Milwaukee Bucks,23,197,7.9,0.88,174,76,150,50.7,50.7,11.7,15.7,10.2,3.6,45.2,24.1
Sacramento Kings,26,162,5.6,0.99,160,59,115,51.3,51.3,16.7,14.8,13.6,2.5,50.6,58.6
Boston Celtics,25,154,5.5,1.03,158,55,110,50.0,50.0,21.4,11.7,20.8,4.5,52.6,72.4
Indiana Pacers,26,144,5.0,1.08,155,62,108,57.4,57.4,13.2,13.9,13.2,2.1,54.2,89.7
Los Angeles Lakers,25,169,6.2,0.88,148,53,128,41.4,41.4,17.8,11.2,15.4,4.7,44.4,13.8
Memphis Grizzlies,26,124,4.0,1.05,130,48,87,55.2,55.2,21.0,13.7,16.9,4.8,52.4,86.2
Houston Rockets,24,125,4.4,1.04,130,51,96,53.1,53.1,15.2,10.4,13.6,2.4,52.8,82.8
Chicago Bulls,26,121,4.1,1.03,125,52,97,53.6,53.6,12.4,11.6,11.6,4.1,50.4,75.9
LA Clippers,26,130,4.5,0.89,116,50,96,52.1,52.1,10.8,16.9,10.8,1.5,46.2,31.0
New York Knicks,24,131,5.1,0.88,115,48,100,48.0,48.0,13.0,13.7,10.7,3.1,45.0,20.7
San Antonio Spurs,25,116,4.2,0.98,114,46,80,57.5,57.5,12.9,19.8,10.3,1.7,50.9,55.2
Orlando Magic,26,94,3.3,1.14,107,39,65,60.0,60.0,20.2,13.8,14.9,3.2,57.4,96.6
Detroit Pistons,26,116,4.0,0.91,106,42,88,47.7,47.7,12.9,12.9,12.1,1.7,46.6,34.5
Miami Heat,23,105,4.2,0.95,100,36,83,43.4,43.4,18.1,6.7,17.1,3.8,47.6,44.8
Minnesota Timberwolves,24,97,3.7,1.02,99,33,70,47.1,47.1,21.6,11.3,21.6,5.2,50.5,69.0
Dallas Mavericks,24,97,3.6,1.01,98,35,76,46.1,46.1,18.6,6.2,17.5,3.1,51.5,62.1
Philadelphia 76ers,23,94,3.7,0.97,91,37,72,51.4,51.4,14.9,12.8,12.8,4.3,48.9,51.7
Washington Wizards,23,80,3.0,1.12,90,32,56,57.1,57.1,20.0,13.8,17.5,3.8,56.3,93.1
Toronto Raptors,26,80,2.6,1.04,83,31,53,58.5,58.5,21.3,15.0,20.0,2.5,53.8,79.3
Phoenix Suns,24,80,3.1,1.01,81,27,58,46.6,46.6,27.5,6.3,23.8,6.3,53.8,65.5
Utah Jazz,24,88,3.3,0.88,77,25,60,41.7,41.7,23.9,13.6,20.5,5.7,45.5,10.3
Atlanta Hawks,25,72,2.4,0.93,67,19,43,44.2,44.2,25.0,18.1,20.8,2.8,48.6,41.4
New Orleans Pelicans,26,66,2.3,0.83,55,24,54,44.4,44.4,12.1,10.6,12.1,4.5,42.4,6.9
Golden State Warriors,23,59,2.2,0.92,54,16,40,40.0,40.0,25.4,10.2,18.6,3.4,49.2,37.9
Cleveland Cavaliers,26,55,1.9,0.96,53,22,42,52.4,52.4,20.0,12.7,16.4,9.1,47.3,48.3
Portland Trail Blazers,25,63,2.2,0.82,52,21,48,43.8,43.8,12.7,15.9,11.1,4.8,39.7,3.4
Brooklyn Nets,25,49,1.8,0.88,43,17,40,42.5,42.5,18.4,8.2,18.4,8.2,42.9,17.2
Charlotte Hornets,25,26,0.9,1.23,32,14,20,70.0,70.0,11.5,15.4,7.7,3.8,61.5,100.0
Oklahoma City Thunder,23,38,1.5,0.74,28,12,31,38.7,38.7,7.9,13.2,7.9,2.6,36.8,0.0
