TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
OKC,76,76,32.300000000000004,1060,2267,46.800000000000004,55.2,17.4,678,1223,55.400000000000006,14.899999999999999,382,1044,36.6
NYK,75,75,33.5,1037,2242,46.300000000000004,55.300000000000004,16.3,631,1091,57.8,17.2,406,1151,35.3
MIL,75,75,34.599999999999994,1003,2240,44.800000000000004,53.2,18.099999999999998,626,1174,53.300000000000004,16.5,377,1066,35.4
HOU,77,77,30.4,932,2182,42.699999999999996,51.5,14.399999999999999,549,1036,53.0,15.9,383,1146,33.4
BOS,75,75,32.300000000000004,893,2156,41.4,53.5,10.100000000000001,373,674,55.300000000000004,22.2,520,1482,35.099999999999994
UTA,77,77,31.5,926,2143,43.2,54.400000000000006,11.3,445,769,57.9,20.200000000000003,481,1374,35.0
SAS,77,77,30.9,902,2140,42.1,51.6,13.0,498,903,55.1,17.9,404,1237,32.7
LAL,76,76,32.5,935,2113,44.2,53.7,14.7,536,957,56.00000000000001,17.8,399,1156,34.5
PHI,77,77,31.4,872,2103,41.5,50.0,14.000000000000002,512,942,54.400000000000006,17.299999999999997,360,1161,31.0
DAL,78,78,30.4,936,2091,44.800000000000004,54.7,13.8,522,945,55.2,16.7,414,1146,36.1
CLE,77,77,30.0,988,2087,47.3,58.8,11.700000000000001,511,816,62.6,18.2,477,1271,37.5
MIN,77,77,30.599999999999998,889,2063,43.1,53.800000000000004,12.5,449,847,53.0,18.0,440,1216,36.199999999999996
SAC,76,76,29.9,866,2052,42.199999999999996,50.2,14.499999999999998,537,999,53.800000000000004,15.299999999999999,329,1053,31.2
POR,78,78,28.999999999999996,865,2035,42.5,52.2,12.3,470,867,54.2,16.6,395,1168,33.800000000000004
WAS,76,76,29.599999999999998,829,2017,41.099999999999994,50.3,12.4,459,845,54.300000000000004,17.2,370,1172,31.6
IND,76,76,29.9,980,2016,48.6,55.800000000000004,16.900000000000002,690,1143,60.4,12.9,290,873,33.2
PHX,77,77,30.4,962,2014,47.8,56.10000000000001,15.8,626,1047,59.8,14.6,336,967,34.699999999999996
GSW,75,75,29.599999999999998,848,2014,42.1,52.6,11.0,426,747,56.99999999999999,18.6,422,1267,33.300000000000004
CHA,76,76,29.7,803,2013,39.900000000000006,49.2,12.3,429,836,51.300000000000004,17.299999999999997,374,1177,31.8
BKN,76,76,30.099999999999998,817,1977,41.3,51.7,11.200000000000001,407,732,55.60000000000001,19.0,410,1245,32.9
ORL,77,77,29.799999999999997,800,1971,40.6,48.6,13.700000000000001,485,907,53.5,16.1,315,1064,29.599999999999998
DET,76,76,28.599999999999998,907,1947,46.6,56.49999999999999,13.200000000000001,521,896,58.099999999999994,15.4,386,1051,36.7
TOR,77,77,27.800000000000004,832,1937,43.0,50.9,13.3,525,930,56.49999999999999,14.499999999999998,307,1007,30.5
NOP,76,76,28.4,851,1931,44.1,53.0,13.600000000000001,506,924,54.800000000000004,14.799999999999999,345,1007,34.300000000000004
CHI,76,76,27.500000000000004,833,1924,43.3,53.5,11.5,440,803,54.800000000000004,16.0,393,1121,35.099999999999994
DEN,78,78,27.700000000000003,969,1920,50.5,58.699999999999996,15.6,654,1081,60.5,12.1,315,839,37.5
MIA,76,76,29.099999999999998,853,1907,44.7,53.900000000000006,13.700000000000001,505,898,56.2,15.4,348,1009,34.5
LAC,76,76,28.999999999999996,902,1898,47.5,57.199999999999996,14.2,536,926,57.9,14.899999999999999,366,972,37.7
MEM,76,76,26.5,866,1876,46.2,55.2,12.3,526,873,60.3,14.2,340,1003,33.900000000000006
ATL,75,75,26.1,811,1799,45.1,53.900000000000006,12.2,493,837,58.9,14.000000000000002,318,962,33.1
