TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
CHI,76,76,31.3,900,2187,41.199999999999996,58.099999999999994,3.5000000000000004,157,246,63.800000000000004,27.800000000000004,743,1941,38.3
OKC,76,76,29.5,894,2075,43.1,59.599999999999994,4.7,210,329,63.800000000000004,24.8,684,1746,39.2
IND,76,76,30.099999999999998,910,2034,44.7,61.6,4.9,223,330,67.60000000000001,25.3,687,1704,40.300000000000004
MEM,77,77,27.200000000000003,848,1954,43.4,61.1,3.2,157,231,68.0,24.0,691,1723,40.1
ATL,76,76,26.900000000000002,798,1878,42.5,59.199999999999996,3.4000000000000004,172,238,72.3,23.5,626,1640,38.2
BOS,75,75,27.3,793,1819,43.6,62.1,2.6,120,172,69.8,24.7,673,1647,40.9
WAS,76,76,26.5,723,1809,40.0,55.50000000000001,3.5999999999999996,162,247,65.60000000000001,22.900000000000002,561,1562,35.9
GSW,75,75,26.3,781,1787,43.7,61.199999999999996,3.5000000000000004,157,239,65.7,22.8,624,1548,40.300000000000004
MIN,78,78,26.0,766,1774,43.2,61.0,2.9000000000000004,132,195,67.7,23.1,634,1579,40.2
PHX,77,77,26.700000000000003,799,1769,45.2,63.2,3.5000000000000004,160,230,69.6,23.200000000000003,639,1539,41.5
SAS,77,77,25.3,735,1752,42.0,59.0,2.9000000000000004,139,204,68.10000000000001,22.3,596,1548,38.5
CLE,77,77,24.9,766,1738,44.1,62.8,2.6,116,182,63.7,22.3,650,1556,41.8
POR,78,78,24.4,674,1710,39.4,55.400000000000006,2.5,129,176,73.3,21.8,545,1534,35.5
SAC,76,76,24.7,730,1699,43.0,59.8,3.5999999999999996,159,249,63.9,21.099999999999998,571,1450,39.4
ORL,77,77,25.6,655,1693,38.7,53.5,3.5000000000000004,155,234,66.2,22.1,500,1459,34.300000000000004
TOR,77,77,23.5,708,1640,43.2,60.199999999999996,3.1,149,215,69.3,20.5,559,1425,39.2
PHI,78,78,24.0,690,1634,42.199999999999996,59.0,3.0,143,204,70.1,21.0,547,1430,38.3
BKN,76,76,24.9,666,1634,40.8,57.3,2.9000000000000004,126,187,67.4,22.1,540,1447,37.3
DEN,78,78,23.599999999999998,703,1632,43.1,59.4,4.0,170,274,62.0,19.6,533,1358,39.2
CHA,76,76,24.0,643,1625,39.6,56.10000000000001,2.7,105,184,57.099999999999994,21.2,538,1441,37.3
MIL,76,76,24.3,701,1596,43.9,61.7,3.3000000000000003,132,216,61.1,21.0,569,1380,41.199999999999996
MIA,77,77,23.799999999999997,698,1585,44.0,61.7,3.2,139,210,66.2,20.7,559,1375,40.699999999999996
HOU,77,77,22.0,668,1578,42.3,58.199999999999996,3.8,167,274,60.9,18.099999999999998,501,1304,38.4
LAL,76,76,24.2,672,1571,42.8,59.3,3.6999999999999997,152,238,63.9,20.5,520,1333,39.0
NOP,76,76,22.2,639,1513,42.199999999999996,57.9,3.5999999999999996,165,242,68.2,18.7,474,1271,37.3
UTA,77,77,20.9,589,1424,41.4,57.4,2.8000000000000003,133,193,68.89999999999999,18.099999999999998,456,1231,37.0
DET,77,77,20.200000000000003,608,1396,43.6,59.599999999999994,3.3000000000000003,161,230,70.0,16.900000000000002,447,1166,38.3
DAL,79,79,19.900000000000002,590,1385,42.6,59.099999999999994,2.9000000000000004,133,202,65.8,17.0,457,1183,38.6
NYK,76,77,20.0,606,1354,44.800000000000004,61.3,3.6999999999999997,159,248,64.1,16.3,447,1106,40.400000000000006
LAC,77,77,19.6,583,1302,44.800000000000004,61.4,3.3000000000000003,149,216,69.0,16.400000000000002,434,1086,40.0
