PLAYER,TEAM,GP,W,L,MIN,Touches,PostUps,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
A.J. Lawson,TOR,11,4,7,106.0,140,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630639,1610612761
AJ Green,MIL,41,17,24,1211.0,1818,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631260,1610612749
AJ Johnson,WAS,23,4,19,163.0,259,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642358,1610612764
Aaron Gordon,DEN,23,17,6,642.0,1114,39,7,23,30.4,8,10,80.0,23,59.0,8,20.5,3,7.7,2,5.1,5,12.8,203932,1610612743
Aaron Holiday,HOU,32,21,11,429.0,612,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1628988,1610612745
Aaron Nesmith,IND,28,8,20,857.0,1485,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630174,1610612754
Aaron Wiggins,OKC,33,25,8,777.0,1102,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630598,1610612760
Ace Bailey,UTA,42,13,29,1051.0,1123,3,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642846,1610612762
Adem Bona,PHI,39,23,16,638.0,581,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,1641737,1610612755
Adou Thiero,LAL,15,8,7,87.0,107,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1642876,1610612747
Ajay Mitchell,OKC,43,37,6,1129.0,2014,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642349,1610612760
Al Horford,GSW,29,17,12,579.0,1160,34,8,12,66.7,2,2,100.0,18,52.900000000000006,19,55.900000000000006,5,14.7,0,0.0,1,2.9000000000000004,201143,1610612744
Alex Caruso,OKC,32,26,6,582.0,939,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1627936,1610612760
Alex Sarr,WAS,38,10,28,1088.0,2267,37,12,23,52.2,4,6,66.7,28,75.7,9,24.3,1,2.7,0,0.0,3,8.1,1642259,1610612764
Alijah Martin,TOR,10,4,6,88.0,105,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642918,1610612761
Alperen Sengun,HOU,39,25,14,1329.0,2883,232,59,105,56.2,14,26,53.800000000000004,135,58.199999999999996,95,40.9,23,9.9,10,4.3,13,5.6000000000000005,1630578,1610612745
Amari Williams,BOS,12,8,4,103.0,120,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642873,1610612738
Amen Thompson,HOU,46,29,17,1718.0,3442,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641708,1610612745
Amir Coffey,MIL,27,10,17,214.0,192,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629599,1610612749
Andre Drummond,PHI,37,20,17,724.0,774,9,5,6,83.3,1,2,50.0,11,122.2,0,0.0,0,0.0,1,11.1,1,11.1,203083,1610612755
Andre Jackson Jr.,MIL,21,5,16,132.0,274,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641748,1610612749
Andrew Nembhard,IND,39,10,29,1250.0,3501,8,1,5,20.0,0,0,0.0,2,25.0,3,37.5,2,25.0,0,0.0,0,0.0,1629614,1610612754
Andrew Wiggins,MIA,43,21,22,1350.0,1987,44,12,25,48.0,1,2,50.0,25,56.8,13,29.5,1,2.3,4,9.1,1,2.3,203952,1610612748
Anfernee Simons,BOS,48,30,18,1177.0,2074,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629014,1610612738
Anthony Black,ORL,47,25,22,1466.0,2844,6,2,4,50.0,0,0,0.0,4,66.7,2,33.300000000000004,0,0.0,0,0.0,0,0.0,1641710,1610612753
Anthony Davis,DAL,19,10,9,590.0,1128,58,10,25,40.0,1,2,50.0,23,39.7,20,34.5,4,6.9,6,10.299999999999999,1,1.7000000000000002,203076,1610612742
Anthony Edwards,MIN,39,24,15,1374.0,2929,43,9,24,37.5,5,6,83.3,23,53.5,11,25.6,3,7.000000000000001,2,4.7,3,7.000000000000001,1630162,1610612750
Anthony Gill,WAS,23,1,22,114.0,122,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630264,1610612764
Antonio Reeves,CHA,7,2,5,56.0,53,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641810,1610612766
Ariel Hukporti,NYK,32,20,12,279.0,278,3,0,1,0.0,0,0,0.0,0,0.0,1,33.300000000000004,0,0.0,1,33.300000000000004,0,0.0,1630574,1610612752
Asa Newell,ATL,34,17,17,371.0,488,5,0,1,0.0,0,0,0.0,0,0.0,3,60.0,1,20.0,0,0.0,0,0.0,1642854,1610612737
Ausar Thompson,DET,42,30,12,1075.0,1801,9,0,0,0.0,3,6,50.0,3,33.300000000000004,4,44.4,0,0.0,0,0.0,3,33.300000000000004,1641709,1610612765
Austin Reaves,LAL,23,15,8,812.0,1755,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630559,1610612747
Ayo Dosunmu,CHI,43,21,22,1133.0,2225,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630245,1610612741
Bam Adebayo,MIA,39,18,21,1223.0,2151,89,15,38,39.5,10,14,71.39999999999999,40,44.9,33,37.1,10,11.200000000000001,8,9.0,7,7.9,1628389,1610612748
Baylor Scheierman,BOS,43,28,15,569.0,616,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631248,1610612738
Ben Saraf,BKN,15,4,11,260.0,573,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642879,1610612751
Ben Sheppard,IND,38,11,27,824.0,1307,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641767,1610612754
Bennedict Mathurin,IND,27,7,20,857.0,1470,4,0,0,0.0,2,2,100.0,2,50.0,3,75.0,0,0.0,0,0.0,1,25.0,1631097,1610612754
Bilal Coulibaly,WAS,28,9,19,744.0,1215,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641731,1610612764
Bismack Biyombo,SAS,12,9,3,65.0,74,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,202687,1610612759
Blake Wesley,POR,6,4,2,98.0,223,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631104,1610612757
Bobby Portis,MIL,45,18,27,1093.0,2080,112,31,59,52.5,11,12,91.7,74,66.10000000000001,39,34.8,10,8.9,6,5.4,6,5.4,1626171,1610612749
Bobi Klintman,DET,8,6,2,60.0,84,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641752,1610612765
Bogdan Bogdanović,LAC,16,5,11,360.0,621,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203992,1610612746
Bones Hyland,MIN,40,25,15,570.0,1390,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0,1630538,1610612750
Bradley Beal,LAC,6,2,4,121.0,177,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203078,1610612746
Branden Carlson,OKC,33,27,6,357.0,497,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642382,1610612760
Brandin Podziemski,GSW,50,27,23,1339.0,2827,7,2,2,100.0,0,0,0.0,4,57.099999999999994,5,71.39999999999999,1,14.299999999999999,0,0.0,0,0.0,1641764,1610612744
Brandon Clarke,MEM,2,1,1,20.0,27,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629634,1610612763
Brandon Ingram,TOR,47,27,20,1600.0,2662,80,18,41,43.9,8,10,80.0,45,56.3,24,30.0,8,10.0,5,6.3,5,6.3,1627742,1610612761
Brandon Miller,CHA,33,19,14,993.0,1950,7,0,5,0.0,1,2,50.0,1,14.299999999999999,0,0.0,0,0.0,1,14.299999999999999,1,14.299999999999999,1641706,1610612766
Brandon Williams,DAL,41,17,24,924.0,2065,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630314,1610612742
Brice Sensabaugh,UTA,45,12,33,948.0,1286,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641729,1610612762
