# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1st,F,Kevin Durant,25.0,OKC,625.0,625.0,1.0,125.0,0.0,0.0,81.0,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,2014,all-nba
1st,F,LeBron James,29.0,MIA,623.0,625.0,0.997,124.0,1.0,0.0,77.0,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,2014,all-nba
1st,C,Joakim Noah,28.0,CHI,551.0,625.0,0.882,101.0,,,80.0,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.0,0.737,11.2,0.19,2014,all-nba
1st,G,Chris Paul,28.0,LAC,540.0,625.0,0.864,86.0,,,62.0,35.0,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,2014,all-nba
1st,G,James Harden,24.0,HOU,502.0,625.0,0.803,73.0,,,73.0,38.0,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,2014,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2014,all-nba
2nd,G,Stephen Curry,25.0,GSW,489.0,625.0,0.782,65.0,,,78.0,36.5,24.0,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,2014,all-nba
2nd,F,Blake Griffin,24.0,LAC,350.0,625.0,0.56,5.0,,,80.0,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,2014,all-nba
2nd,F,Kevin Love,25.0,MIN,237.0,625.0,0.379,2.0,,,77.0,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245,2014,all-nba
2nd,C,Dwight Howard,28.0,HOU,226.0,625.0,0.362,9.0,,,71.0,33.7,18.3,12.2,1.8,0.8,1.8,0.591,0.286,0.547,8.0,0.161,2014,all-nba
2nd,G,Tony Parker,31.0,SAS,210.0,625.0,0.336,14.0,,,68.0,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141,2014,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2014,all-nba
3rd,F,LaMarcus Aldridge,28.0,POR,191.0,625.0,0.306,4.0,,,69.0,36.2,23.2,11.1,2.6,0.9,1.0,0.458,0.2,0.822,7.5,0.144,2014,all-nba
3rd,C,Al Jefferson,29.0,CHA,191.0,625.0,0.306,4.0,,,73.0,35.0,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,2014,all-nba
3rd,F,Paul George,23.0,IND,171.0,625.0,0.274,4.0,,,80.0,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,2014,all-nba
3rd,G,Damian Lillard,23.0,POR,115.0,625.0,0.184,2.0,,,82.0,35.8,20.7,3.5,5.6,0.8,0.3,0.424,0.394,0.871,9.6,0.157,2014,all-nba
3rd,G,Goran Dragić,27.0,PHO,115.0,625.0,0.184,1.0,,,76.0,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186,2014,all-nba
,,,,,,,,,,,,,,,,,,,,,,,2014,all-nba
ORV,F,Carmelo Anthony,29.0,NYK,86.0,625.0,0.138,1.0,,,77.0,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172,2014,all-nba
ORV,G,John Wall,23.0,WAS,70.0,625.0,0.112,0.0,,,82.0,36.3,19.3,4.1,8.8,1.8,0.5,0.433,0.351,0.805,7.9,0.128,2014,all-nba
