bref_id,Player,Season,team,Offensive Archetype,Minutes,Games,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,NBA ID,boxLEBRON,boxOLEBRON,boxDLEBRON,year
jokicni01,nikola jokic,2022-23,DEN,Post Scorer,1266,38,C,27,7.01,5.49,1.52,7.30,203999.0,5.94,4.89,1.05,2023
doncilu01,luka doncic,2022-23,DAL,Shot Creator,1497,40,PG,23,5.85,6.16,-0.31,7.70,1629029.0,6.49,6.31,0.17,2023
tatumja01,jayson tatum,2022-23,BOS,Shot Creator,1542,42,PF,24,4.94,4.62,0.32,7.10,1628369.0,5.08,4.57,0.51,2023
jacksja02,jaren jackson jr.,2022-23,MEM,Stretch Big,679,26,C,23,4.94,1.16,3.77,3.10,1628991.0,4.0,0.67,3.33,2023
davisan02,anthony davis,2022-23,LAL,Post Scorer,836,25,C,29,4.92,2.86,2.06,3.90,203076.0,4.74,2.97,1.77,2023
embiijo01,joel embiid,2022-23,PHI,Shot Creator,1080,31,C,28,4.86,3.01,1.84,4.90,203954.0,4.98,3.92,1.06,2023
antetgi01,giannis antetokounmpo,2022-23,MIL,Shot Creator,1180,35,PF,28,4.62,3.58,1.05,5.20,203507.0,4.17,3.04,1.14,2023
hardeja01,james harden,2022-23,PHI,Shot Creator,1004,27,PG,33,4.38,3.7,0.68,4.30,201935.0,4.36,3.88,0.48,2023
sabondo01,domantas sabonis,2022-23,SAC,Roll + Cut Big,1371,40,C,26,4.11,3.06,1.04,5.70,1627734.0,4.0,2.88,1.12,2023
moranja01,ja morant,2022-23,MEM,Primary Ball Handler,1126,35,PG,23,4.0,3.89,0.11,4.60,1629630.0,3.41,3.78,-0.37,2023
duranke01,kevin durant,2022-23,BRK,Shot Creator,1403,39,PF,34,3.94,3.51,0.42,5.70,201142.0,3.66,3.33,0.33,2023
mitchdo01,donovan mitchell,2022-23,CLE,Primary Ball Handler,1423,39,SG,26,3.87,3.31,0.56,5.70,1628378.0,3.31,3.48,-0.18,2023
butleji01,jimmy butler,2022-23,MIA,Shot Creator,1033,30,SF,33,3.85,2.82,1.02,4.10,202710.0,3.7,2.7,1.0,2023
curryst01,stephen curry,2022-23,GSW,Primary Ball Handler,948,28,PG,34,3.8,4.33,-0.53,3.70,201939.0,3.79,4.32,-0.54,2023
gilgesh01,shai gilgeous-alexander,2022-23,OKC,Shot Creator,1390,39,PG,24,3.6,2.79,0.81,5.30,1628983.0,3.24,2.87,0.36,2023
