TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Brooklyn Nets,57,57,9.0,207,451,45.9,46.3,8.9,203,445,45.6,0.1,4,6,66.7
Los Angeles Lakers,58,58,8.0,223,436,51.1,52.3,7.7,213,419,50.8,0.3,10,17,58.8
Utah Jazz,59,59,8.1,212,431,49.2,49.7,7.9,208,423,49.2,0.2,4,8,50.0
Washington Wizards,57,57,8.3,201,424,47.4,47.5,8.1,200,416,48.1,0.2,1,8,12.5
Phoenix Suns,59,59,8.2,201,415,48.4,48.4,8.2,201,415,48.4,0.0,0,0,-
Minnesota Timberwolves,60,59,7.8,217,414,52.4,52.8,7.5,214,400,53.5,0.3,3,14,21.4
Oklahoma City Thunder,56,56,8.3,204,414,49.3,49.4,8.2,203,410,49.5,0.1,1,4,25.0
Atlanta Hawks,58,56,7.7,199,402,49.5,49.5,7.6,199,396,50.3,0.1,0,6,0.0
San Antonio Spurs,57,56,7.7,203,397,51.1,51.4,7.5,201,386,52.1,0.2,2,11,18.2
Portland Trail Blazers,58,58,7.8,209,393,53.2,53.2,7.7,209,388,53.9,0.1,0,5,0.0
Charlotte Hornets,59,59,7.4,184,390,47.2,47.7,7.2,180,380,47.4,0.2,4,10,40.0
LA Clippers,60,60,7.4,179,389,46.0,46.7,7.2,174,378,46.0,0.2,5,11,45.5
Indiana Pacers,59,59,7.4,169,383,44.1,44.6,7.1,165,371,44.5,0.2,4,12,33.3
Sacramento Kings,57,57,7.5,190,378,50.3,50.9,7.3,185,370,50.0,0.2,5,8,62.5
Golden State Warriors,57,57,7.2,173,372,46.5,46.9,7.1,170,367,46.3,0.1,3,5,60.0
Memphis Grizzlies,56,56,7.3,150,370,40.5,41.1,7.1,146,360,40.6,0.2,4,10,40.0
Houston Rockets,57,57,7.2,182,365,49.9,50.0,7.1,181,359,50.4,0.1,1,6,16.7
Miami Heat,58,58,7.5,167,359,46.5,47.1,7.2,163,344,47.4,0.3,4,15,26.7
Cleveland Cavaliers,60,60,7.0,150,350,42.9,43.3,6.8,147,342,43.0,0.2,3,8,37.5
Dallas Mavericks,59,59,7.0,178,349,51.0,51.3,6.8,176,339,51.9,0.2,2,10,20.0
Boston Celtics,58,58,6.6,155,348,44.5,44.7,6.5,154,341,45.2,0.1,1,7,14.3
Orlando Magic,59,58,6.6,173,337,51.3,51.6,6.5,171,332,51.5,0.1,2,5,40.0
Chicago Bulls,56,56,6.8,144,332,43.4,43.7,6.6,142,326,43.6,0.1,2,6,33.3
Toronto Raptors,59,59,6.8,162,331,48.9,49.5,6.6,158,320,49.4,0.2,4,11,36.4
Denver Nuggets,58,58,6.6,161,330,48.8,48.9,6.4,160,323,49.5,0.1,1,7,14.3
New Orleans Pelicans,58,55,6.4,169,325,52.0,52.0,6.4,169,322,52.5,0.1,0,3,0.0
New York Knicks,59,59,6.2,152,324,46.9,47.1,6.1,151,318,47.5,0.1,1,6,16.7
Milwaukee Bucks,57,57,6.1,154,321,48.0,48.4,5.9,151,311,48.6,0.2,3,10,30.0
Philadelphia 76ers,56,56,6.2,135,296,45.6,45.9,5.9,133,284,46.8,0.3,2,12,16.7
Detroit Pistons,57,57,5.7,156,286,54.5,54.5,5.6,156,283,55.1,0.1,0,3,0.0
