TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Golden State Warriors,41,455,9.7,1.01,458,157,387,40.6,53.4,6.4,10.1,6.2,1.5,39.3,82.8
Utah Jazz,44,377,7.5,1.02,383,130,325,40.0,51.2,8.2,7.2,7.7,1.9,40.6,86.2
Boston Celtics,42,304,6.5,1.05,318,114,262,43.5,54.8,6.3,8.6,6.9,1.6,42.1,96.6
Detroit Pistons,45,219,4.3,1.04,228,77,186,41.4,50.3,10.0,6.8,9.1,1.8,43.4,93.1
Brooklyn Nets,40,210,5.0,0.99,207,83,181,45.9,51.7,6.7,10.5,5.7,3.3,42.9,75.9
LA Clippers,43,219,4.6,0.94,207,78,188,41.5,50.0,5.0,10.5,4.6,1.4,39.3,58.6
Minnesota Timberwolves,42,219,4.7,0.91,199,73,187,39.0,47.1,6.8,9.6,6.8,1.8,38.4,44.8
Phoenix Suns,43,206,4.3,0.96,198,74,179,41.3,48.0,8.3,7.3,7.3,2.4,41.7,65.5
Portland Trail Blazers,40,190,4.3,1.0,190,68,171,39.8,50.3,8.9,4.7,8.9,3.7,40.5,79.3
Atlanta Hawks,41,223,4.8,0.85,189,73,202,36.1,42.1,4.9,4.9,4.0,0.4,37.2,13.8
Charlotte Hornets,42,224,4.6,0.84,189,69,198,34.8,42.4,6.3,6.3,5.8,0.9,36.2,6.9
New Orleans Pelicans,42,176,3.7,0.97,171,59,157,37.6,47.5,8.5,5.1,6.8,2.8,39.2,72.4
Washington Wizards,42,191,4.1,0.89,170,58,153,37.9,45.8,8.4,11.5,7.3,0.0,38.7,31.0
Denver Nuggets,41,180,4.0,0.93,168,63,159,39.6,49.1,4.4,7.8,3.9,0.6,38.9,51.7
Miami Heat,42,194,4.3,0.86,167,61,181,33.7,41.4,5.7,3.1,5.2,2.1,35.1,20.7
Indiana Pacers,42,163,3.4,0.94,153,56,144,38.9,47.9,5.5,7.4,5.5,1.2,38.7,55.2
Memphis Grizzlies,41,166,3.5,0.9,150,52,146,35.6,46.2,6.0,7.8,6.0,1.8,35.5,41.4
San Antonio Spurs,42,158,3.3,0.92,145,53,136,39.0,48.5,5.1,8.9,5.1,0.0,38.6,48.3
Orlando Magic,42,133,2.9,1.08,144,57,120,47.5,57.1,4.5,7.5,3.0,2.3,45.1,100.0
Cleveland Cavaliers,42,159,3.5,0.89,141,52,134,38.8,45.1,8.2,9.4,6.9,1.9,39.0,27.6
Toronto Raptors,41,146,3.2,0.96,140,52,130,40.0,50.4,4.8,6.8,4.8,0.7,39.0,62.1
Dallas Mavericks,42,124,2.8,1.04,129,40,105,38.1,49.0,9.7,6.5,9.7,0.8,41.1,89.7
Sacramento Kings,40,152,3.4,0.84,127,49,136,36.0,46.3,1.3,9.9,1.3,0.7,32.9,3.4
Milwaukee Bucks,41,135,2.9,0.9,121,42,116,36.2,46.6,5.9,10.4,5.9,2.2,34.8,37.9
Chicago Bulls,42,120,2.6,0.87,104,40,107,37.4,45.8,3.3,8.3,3.3,0.8,35.8,24.1
New York Knicks,42,111,2.3,0.89,99,38,94,40.4,47.9,6.3,11.7,5.4,2.7,36.9,34.5
Philadelphia 76ers,40,117,2.7,0.85,99,35,104,33.7,43.8,4.3,8.5,4.3,1.7,32.5,10.3
Oklahoma City Thunder,41,86,1.8,0.96,83,32,74,43.2,52.0,4.7,9.3,4.7,0.0,41.9,69.0
Los Angeles Lakers,41,100,2.1,0.74,74,26,83,31.3,38.6,7.0,12.0,7.0,2.0,31.0,0.0
Houston Rockets,41,86,1.8,0.85,73,25,75,33.3,42.7,4.7,9.3,4.7,1.2,32.6,17.2
