TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Indiana Pacers,44,997,20.0,1.18,1172,424,796,53.3,62.6,12.7,9.9,12.3,2.5,52.3,96.6
Memphis Grizzlies,42,952,19.4,1.15,1093,415,770,53.9,61.4,12.8,10.2,11.9,4.0,51.5,69.0
Oklahoma City Thunder,43,957,19.2,1.13,1081,393,740,53.1,58.9,14.7,10.8,13.9,2.8,52.6,48.3
Toronto Raptors,43,917,18.9,1.14,1048,367,691,53.1,59.0,17.1,10.6,15.4,3.1,53.7,65.5
Sacramento Kings,41,955,20.7,1.08,1029,375,746,50.3,57.4,12.9,12.0,11.8,3.2,48.4,17.2
Boston Celtics,44,871,17.9,1.17,1022,368,661,55.7,63.3,14.5,13.0,13.8,3.3,53.0,93.1
Minnesota Timberwolves,44,869,17.7,1.15,1003,381,671,56.8,61.9,14.5,12.5,13.5,4.3,53.5,75.9
Los Angeles Lakers,42,903,18.8,1.1,998,376,676,55.6,60.2,15.3,13.4,13.6,3.7,52.6,24.1
Denver Nuggets,42,769,16.7,1.25,962,358,603,59.4,67.8,13.3,11.7,11.8,3.4,56.3,100.0
Utah Jazz,46,833,15.9,1.14,950,356,650,54.8,62.7,11.8,13.6,10.8,3.4,50.7,62.1
Detroit Pistons,46,846,16.2,1.12,946,337,611,55.2,61.9,16.8,13.5,15.2,2.7,53.0,44.8
Brooklyn Nets,41,801,18.5,1.16,925,342,635,53.9,63.0,11.6,11.2,11.2,2.5,50.8,79.3
Atlanta Hawks,43,787,16.0,1.17,921,346,620,55.8,62.1,14.4,10.8,12.5,4.1,53.9,86.2
LA Clippers,44,807,16.7,1.14,920,319,600,53.2,61.9,16.4,12.3,14.7,3.2,51.9,55.2
New Orleans Pelicans,43,807,16.4,1.14,917,346,644,53.7,60.3,12.3,10.8,10.9,2.9,52.0,51.7
San Antonio Spurs,43,808,16.3,1.12,903,346,645,53.6,60.3,13.0,11.3,11.6,4.1,50.9,41.4
Chicago Bulls,43,807,17.1,1.11,900,329,622,52.9,58.7,14.4,11.2,13.4,2.6,51.9,34.5
Golden State Warriors,42,809,16.8,1.11,896,333,636,52.4,60.9,10.3,13.3,9.1,2.3,48.8,27.6
Charlotte Hornets,44,836,16.4,1.07,896,338,661,51.1,56.2,13.8,10.6,12.1,3.5,50.4,10.3
Washington Wizards,43,737,15.6,1.17,859,328,580,56.6,64.1,11.9,11.9,10.9,2.6,53.1,82.8
Milwaukee Bucks,43,809,16.5,1.05,852,298,615,48.5,56.6,15.7,12.0,14.7,3.7,47.3,3.4
New York Knicks,43,771,15.8,1.1,851,302,584,51.7,57.9,16.1,10.6,15.3,3.0,51.2,20.7
Orlando Magic,43,751,15.8,1.12,839,309,586,52.7,58.9,14.1,11.6,13.2,4.0,50.9,37.9
Cleveland Cavaliers,44,720,15.1,1.15,830,324,565,57.3,62.8,12.4,11.7,11.3,2.9,53.5,72.4
Miami Heat,44,707,14.8,1.14,806,293,559,52.4,59.5,12.9,11.2,11.6,3.1,50.9,58.6
Philadelphia 76ers,42,678,14.9,1.17,795,297,533,55.7,62.4,14.6,11.4,14.0,4.6,53.4,89.7
Portland Trail Blazers,42,679,14.7,1.11,754,282,518,54.4,60.1,14.6,12.4,14.1,3.7,51.8,31.0
Phoenix Suns,44,670,13.6,1.07,719,251,517,48.5,57.3,12.5,11.3,10.1,1.3,48.2,13.8
Dallas Mavericks,44,650,13.9,1.05,686,246,518,47.5,54.1,13.7,9.5,13.2,3.2,47.5,6.9
Houston Rockets,42,649,13.5,1.05,680,261,503,51.9,56.9,13.1,13.4,12.2,4.0,48.5,0.0
